Start Time;06/05/2026 14:52:14

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;1;
0;1;
0,025;1;
0,04;1;
0,055;1;
0,071;1;
0,086;1;
0,104;1;
0,118;1;
0,133;1;
0,149;1;
0,165;1;
0,18;1;
0,196;1;
0,211;1;
0,229;1;
0,245;1;
0,259;1;
0,277;1;
0,296;1;
0,323;1;
0,34;1;
0,353;1;
0,374;1;
0,401;1;
0,418;1;
0,448;1;
0,463;1;
0,476;1;
0,491;1;
0,507;1;
0,525;1;
0,537;1;
0,56;1;
0,59;1;
0,616;1;
0,63;-1;
0,648;1;
0,663;1;
0,678;1;
0,698;1;
0,727;1;
0,74;1;
0,757;1;
0,773;1;
0,787;1;
0,804;1;
0,819;1;
0,837;1;
0,852;1;
0,867;1;
0,881;-1;
0,907;1;
0,928;1;
0,942;1;
0,957;1;
0,975;1;
0,99;1;
1,004;1;
1,021;-1;
1,034;1;
1,048;1;
1,066;1;
1,079;1;
1,095;1;
1,111;1;
1,126;0;
1,143;1;
1,157;1;
1,172;1;
1,19;1;
1,211;1;
1,233;1;
1,249;1;
1,265;1;
1,283;1;
1,298;1;
1,312;1;
1,332;1;
1,359;1;
1,374;1;
1,392;1;
1,407;1;
1,422;1;
1,44;1;
1,459;1;
1,49;1;
1,516;0;
1,532;1;
1,546;1;
1,563;1;
1,578;1;
1,595;1;
1,616;1;
1,642;1;
1,66;1;
1,687;1;
1,703;1;
1,72;1;
1,735;1;
1,748;1;
1,764;1;
1,779;1;
1,798;1;
1,822;1;
1,853;1;
1,874;1;
1,889;1;
1,914;1;
1,938;1;
1,951;1;
1,965;1;
1,982;1;
2,009;1;
2,029;1;
2,045;1;
2,062;1;
2,084;1;
2,109;1;
2,123;1;
2,138;1;
2,155;1;
2,169;1;
2,184;1;
2,201;1;
2,219;1;
2,233;1;
2,247;1;
2,264;1;
2,28;1;
2,295;1;
2,309;1;
2,331;1;
2,362;1;
2,387;1;
2,402;1;
2,42;1;
2,432;1;
2,449;1;
2,466;1;
2,497;1;
2,529;1;
2,556;1;
2,569;1;
2,583;1;
2,599;1;
2,614;1;
2,635;1;
2,648;1;
2,664;1;
2,682;1;
2,721;1;
2,75;1;
2,777;1;
2,804;1;
2,82;1;
2,836;1;
2,852;1;
2,865;1;
2,884;1;
2,896;1;
2,912;1;
2,932;1;
2,966;1;
2,998;1;
3,033;1;
3,056;1;
3,071;1;
3,088;1;
3,108;1;
3,133;1;
3,147;1;
3,164;1;
3,179;1;
3,201;1;
3,233;1;
3,264;1;
3,292;1;
3,314;1;
3,342;1;
3,368;1;
3,388;1;
3,414;1;
3,433;1;
3,467;1;
3,494;1;
3,509;1;
3,529;1;
3,562;1;
3,588;1;
3,622;1;
3,648;1;
3,661;1;
3,678;1;
3,694;1;
3,709;1;
3,726;0;
3,741;1;
3,768;1;
3,79;1;
3,806;1;
3,821;1;
3,836;1;
3,853;1;
3,868;1;
3,881;1;
3,899;1;
3,913;1;
3,928;1;
3,946;1;
3,96;-1;
3,978;1;
4,005;1;
4,019;1;
4,036;1;
4,053;0;
4,069;1;
4,087;1;
4,113;1;
4,132;-1;
4,155;0;
4,18;1;
4,195;1;
4,21;-1;
4,227;1;
4,244;1;
4,258;1;
4,273;1;
4,288;1;
4,311;1;
4,335;1;
4,348;1;
4,369;1;
4,387;1;
4,419;1;
4,449;1;
4,466;1;
4,494;1;
4,518;1;
4,546;1;
4,572;1;
4,591;-1;
4,618;1;
4,633;1;
4,649;1;
4,667;1;
4,683;1;
4,703;1;
4,727;1;
4,742;1;
4,759;1;
4,774;1;
4,793;1;
4,827;1;
4,851;1;
4,867;1;
4,884;1;
4,904;1;
4,93;1;
4,946;1;
4,958;1;
4,975;1;
4,99;1;
5,007;1;
5,021;1;
5,04;1;
5,074;1;
5,1;1;
5,116;1;
5,132;1;
5,147;1;
5,164;1;
5,183;1;
5,21;1;
5,224;-1;
5,241;1;
5,256;1;
5,273;1;
5,302;1;
5,316;1;
5,333;1;
5,348;1;
5,37;1;
5,393;1;
5,412;1;
5,425;1;
5,442;1;
5,456;1;
5,472;1;
5,487;1;
5,502;1;
5,518;1;
5,54;1;
5,564;1;
5,577;1;
5,597;1;
5,633;1;
5,658;1;
5,677;1;
5,703;1;
5,718;1;
5,736;1;
5,759;1;
5,785;1;
5,814;1;
5,842;1;
5,855;1;
5,875;1;
5,903;1;
5,924;1;
5,951;1;
5,967;1;
5,982;1;
6,001;1;
6,029;1;
6,048;1;
6,082;1;
6,108;1;
6,128;1;
6,154;1;
6,171;1;
6,184;1;
6,2;1;
6,216;1;
6,232;1;
6,245;1;
6,264;1;
6,28;1;
6,305;1;
6,325;1;
6,34;1;
6,364;1;
6,387;1;
6,406;1;
6,419;1;
6,437;1;
6,457;0;
6,482;1;
6,498;1;
6,514;1;
6,527;1;
6,549;1;
6,578;1;
6,593;0;
6,61;1;
6,643;-1;
6,669;0;
6,688;1;
6,717;1;
6,728;1;
6,746;1;
6,758;1;
6,774;1;
6,789;1;
6,806;1;
6,821;-1;
6,845;-1;
6,869;1;
6,885;0;
6,898;-2;
6,918;1;
6,944;1;
6,962;1;
6,975;0;
6,992;1;
7,008;-1;
7,021;1;
7,038;0;
7,057;1;
7,085;1;
7,109;1;
7,122;1;
7,144;1;
7,172;1;
7,189;1;
7,224;1;
7,248;1;
7,264;1;
7,282;1;
7,313;1;
7,341;1;
7,359;-1;
7,372;-2;
7,387;1;
7,406;1;
7,419;1;
7,44;1;
7,468;1;
7,481;1;
7,499;1;
7,522;1;
7,548;1;
7,567;1;
7,594;1;
7,61;1;
7,632;1;
7,657;-1;
7,675;1;
7,703;1;
7,719;1;
7,738;1;
7,769;1;
7,791;1;
7,807;0;
7,823;1;
7,839;-1;
7,853;1;
7,871;0;
7,888;1;
7,902;1;
7,92;1;
7,934;1;
7,95;1;
7,965;-1;
7,982;1;
8,002;0;
8,028;0;
8,048;1;
8,076;-1;
8,088;1;
8,104;-1;
8,13;1;
8,152;-2;
8,169;0;
8,19;1;
8,217;-1;
8,23;0;
8,25;1;
8,284;1;
8,313;-1;
8,34;-3;
8,356;-3;
8,372;-1;
8,386;0;
8,404;-1;
8,416;1;
8,434;1;
8,453;1;
8,481;1;
8,496;1;
8,517;1;
8,547;1;
8,573;1;
8,589;1;
8,605;1;
8,62;-1;
8,639;1;
8,667;1;
8,684;1;
8,697;1;
0;0,001953125;
0;0,001953125;
0,013;0;
0,029;0,001953125;
0,046;0,001953125;
0,07;0,001953125;
0,099;0,001953125;
0,122;-0,001953125;
0,139;0,001953125;
0,155;0,001953125;
0,174;0,001953125;
0,204;0,001953125;
0,218;-0,001953125;
0,236;-0,001953125;
0,262;0,001953125;
0,288;0,001953125;
0,302;-0,001953125;
0,316;-0,005859375;
0,333;0;
0,35;-0,001953125;
0,373;0,001953125;
0,398;0,001953125;
0,412;0,001953125;
0,428;0,001953125;
0,445;0;
0,473;-0,001953125;
0,489;0,001953125;
0,505;0,001953125;
0,521;0,001953125;
0,556;0,001953125;
0,586;0,001953125;
0,618;0,001953125;
0,645;0,001953125;
0,664;0,001953125;
0,69;0,001953125;
0,713;0,001953125;
0,744;0,001953125;
0,773;0,001953125;
0,804;0,001953125;
0,836;0,001953125;
0,865;0,001953125;
0,882;0,001953125;
0,895;0,001953125;
0,917;0,001953125;
0,952;-0,001953125;
0,976;-0,005859375;
1,003;-0,001953125;
1,019;0,001953125;
1,034;0,001953125;
1,05;0,001953125;
1,07;0,001953125;
1,101;0,001953125;
1,134;0,001953125;
1,159;0,001953125;
1,18;0,001953125;
1,205;0,001953125;
1,228;0,001953125;
1,251;0,001953125;
1,266;0,001953125;
1,283;0,001953125;
1,306;0,001953125;
1,333;0,001953125;
1,365;0,001953125;
1,395;0,001953125;
1,43;-0,001953125;
1,459;-0,001953125;
1,488;0;
1,501;0,001953125;
1,518;0;
1,54;0,001953125;
1,564;0,001953125;
1,579;0,001953125;
1,595;0,001953125;
1,62;0,001953125;
1,642;0,001953125;
1,658;0,001953125;
1,678;-0,001953125;
