Start Time;06/05/2026 13:36:34

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;1;
0;1;
0,018;1;
0,031;1;
0,047;1;
0,062;1;
0,078;1;
0,094;1;
0,11;1;
0,126;1;
0,142;1;
0,158;1;
0,172;1;
0,187;1;
0,203;1;
0,219;1;
0,236;1;
0,252;1;
0,267;1;
0,281;1;
0,301;1;
0,335;1;
0,359;1;
0,375;1;
0,39;1;
0,404;-1;
0,423;1;
0,457;1;
0,482;1;
0,502;1;
0,534;1;
0,562;1;
0,595;1;
0,62;0;
0,635;-3;
0,652;-3;
0,665;-1;
0,684;-3;
0,697;-2;
0,717;-3;
0,747;-3;
0,767;0;
0,798;-3;
0,823;-1;
0,837;1;
0,854;-2;
0,87;-3;
0,898;-3;
0,913;-3;
0,928;-2;
0,952;0;
0,98;-3;
1,011;-3;
1,044;-3;
1,077;-3;
1,1;-3;
1,117;-3;
1,133;-3;
1,151;-3;
1,18;-3;
1,198;-3;
1,232;-3;
1,256;-3;
1,275;-2;
1,304;-2;
1,32;-3;
1,336;-3;
1,361;-3;
1,381;-3;
1,396;-3;
1,413;-3;
1,428;-3;
1,446;-3;
1,466;-3;
1,493;-3;
1,513;-3;
1,536;-3;
1,553;-3;
1,569;-3;
1,584;-3;
1,603;-3;
1,635;-3;
1,664;-1;
1,678;-3;
1,698;-2;
1,724;-1;
1,746;1;
1,773;-1;
1,786;-3;
1,804;-1;
1,816;-2;
1,834;-2;
1,849;-3;
1,864;-2;
1,879;-3;
1,897;-2;
1,909;-3;
1,927;-3;
1,941;-3;
1,961;-2;
1,992;-2;
2,022;-1;
2,04;-2;
2,069;-1;
2,084;-2;
2,101;-1;
2,13;-3;
2,148;-2;
2,18;-3;
2,212;-3;
2,24;-2;
2,253;-1;
2,271;-3;
2,283;-3;
2,303;-3;
2,336;-3;
2,362;-3;
2,381;-3;
2,407;-3;
2,422;-3;
2,444;-3;
2,471;-3;
2,485;-3;
2,5;-3;
2,516;-2;
2,54;-3;
2,564;-3;
2,579;-3;
2,596;-3;
2,61;-3;
2,627;0;
2,656;-3;
2,673;-3;
2,706;-3;
2,74;-3;
2,768;-3;
2,799;-3;
2,835;-3;
2,861;-3;
2,893;-3;
2,919;-3;
2,935;-1;
2,952;-3;
2,974;-3;
3,002;-3;
3,028;-1;
3,044;-3;
3,061;-3;
3,094;-3;
3,12;-3;
3,142;-3;
3,173;-3;
3,204;-2;
3,232;0;
3,258;-3;
3,274;-2;
3,294;-1;
3,33;-3;
3,356;-3;
3,385;-3;
3,4;-2;
3,416;-3;
3,432;-3;
3,45;-3;
3,464;0;
3,483;-1;
3,517;-3;
3,542;-3;
3,574;-3;
3,594;-3;
3,62;-1;
3,637;-3;
3,651;-3;
3,668;-3;
3,683;-3;
3,701;-3;
3,732;-3;
3,76;-3;
3,78;1;
3,806;0;
3,82;-1;
3,836;-3;
3,85;-1;
3,87;-3;
3,898;-3;
3,914;-3;
3,936;-3;
3,958;-3;
3,976;-3;
3,991;-3;
4,004;-3;
4,026;-2;
4,055;-3;
4,067;-3;
4,084;-3;
4,096;-3;
4,115;-3;
4,129;-3;
4,152;-3;
4,18;-3;
4,21;-3;
4,237;-3;
4,252;-3;
4,269;-3;
4,283;-3;
4,301;-3;
4,316;-3;
4,332;-3;
4,349;-3;
4,366;-3;
4,378;-3;
4,394;-3;
4,413;-3;
4,431;-3;
4,46;-3;
4,477;-3;
4,492;-3;
4,511;-3;
4,536;-3;
4,553;-3;
4,568;-3;
4,59;-3;
4,615;-3;
4,63;-3;
4,646;-3;
4,662;-3;
4,682;-3;
4,714;-3;
4,745;-3;
4,773;-3;
4,789;-3;
4,802;-3;
4,819;-3;
4,833;-3;
4,851;-3;
4,864;-3;
4,883;-3;
4,895;-3;
4,913;-3;
4,928;-3;
4,944;-3;
4,962;-3;
4,979;-3;
5,011;-3;
5,043;-3;
5,067;-3;
5,086;-3;
5,122;-3;
5,147;-3;
5,159;-3;
5,175;-3;
5,19;-3;
5,21;-3;
5,244;-3;
5,277;-3;
5,301;-3;
5,316;-3;
5,33;-3;
5,346;-3;
5,364;-3;
5,378;-3;
5,393;-3;
5,408;-3;
5,424;-3;
5,448;-3;
5,474;-3;
5,507;-3;
5,535;-3;
5,551;-3;
5,566;-3;
5,583;-3;
5,597;-3;
5,614;-3;
5,628;-3;
5,644;-3;
5,66;-3;
5,676;-3;
5,692;-3;
5,73;-3;
5,753;-3;
5,768;-3;
5,785;-3;
5,798;-3;
5,815;-3;
5,834;-3;
5,863;-3;
5,892;-3;
5,907;-3;
5,924;-3;
5,958;-3;
5,982;-3;
5,999;-3;
6,013;-3;
6,034;-3;
6,064;-3;
6,093;-3;
6,125;-3;
6,154;-3;
6,183;-3;
6,198;-3;
6,218;-3;
6,244;-3;
6,259;-3;
6,276;-3;
6,291;-3;
6,311;-3;
6,328;-3;
6,356;-3;
6,372;-3;
6,386;-3;
6,402;-3;
6,418;-3;
6,433;-3;
6,453;-3;
6,482;-3;
6,495;-3;
6,511;-3;
6,527;-3;
6,542;-3;
6,562;0;
6,589;1;
6,604;-2;
6,619;1;
6,634;0;
6,65;-1;
6,67;-3;
6,704;-3;
6,732;-3;
6,767;-1;
6,791;-2;
6,808;-3;
6,822;-3;
6,841;-3;
6,854;-3;
6,87;-2;
6,885;-1;
6,907;-3;
6,936;-3;
6,964;-3;
6,994;-3;
7,006;-3;
7,022;-3;
7,046;-3;
7,069;-3;
7,083;-3;
7,106;-3;
7,136;-3;
7,171;-3;
7,2;-3;
7,226;-1;
7,241;-3;
7,26;-3;
7,29;-3;
7,32;-3;
7,332;-3;
7,353;-3;
7,381;-3;
7,397;-3;
7,412;-3;
7,431;-3;
7,447;-3;
7,474;-3;
7,492;-3;
7,508;-3;
7,536;-3;
7,558;-3;
7,588;-3;
7,613;-3;
7,639;-3;
7,662;-3;
7,678;-3;
7,713;-1;
7,739;-3;
7,761;-3;
7,795;-3;
7,814;-3;
7,83;-3;
7,846;-3;
7,861;-3;
7,879;-3;
7,898;-3;
7,923;-3;
7,941;-3;
7,954;-3;
7,971;-3;
7,984;-3;
8,003;-3;
8,033;-3;
8,047;-3;
8,062;-3;
8,079;-3;
8,1;-3;
8,131;-3;
8,155;0;
8,171;-3;
8,186;-3;
8,207;-3;
8,232;-3;
8,249;-3;
8,264;-3;
8,281;-3;
8,31;-3;
8,327;-3;
8,348;-3;
8,377;-3;
8,402;-3;
8,418;-3;
8,435;-3;
8,448;-3;
8,467;-3;
8,494;-3;
8,511;-3;
8,526;-3;
8,543;-3;
8,559;-3;
8,576;-3;
8,602;-3;
8,626;-3;
8,651;-3;
8,668;-3;
8,681;-3;
8,702;-3;
8,727;-2;
8,747;-3;
8,778;-3;
8,808;-3;
8,826;-3;
8,852;-3;
8,868;-3;
8,882;-3;
8,907;-3;
8,931;-3;
8,946;-3;
8,962;-3;
8,98;-3;
9,008;-3;
9,023;-3;
9,039;-3;
9,058;-3;
9,072;-1;
9,091;-3;
9,122;-3;
9,149;-3;
9,165;-1;
9,178;-3;
9,193;-3;
9,216;-3;
9,244;-3;
9,257;-3;
9,273;-1;
9,288;-3;
9,304;-3;
9,32;-3;
9,345;-3;
9,37;-3;
9,384;-3;
9,4;-3;
9,415;-3;
9,431;-3;
9,45;-3;
9,464;-3;
9,48;-3;
9,495;-3;
9,513;-3;
9,528;-3;
9,541;-3;
9,558;-3;
9,575;-3;
9,588;-3;
9,604;-3;
9,618;-3;
9,635;-3;
9,652;-3;
9,671;-3;
9,699;-3;
9,719;-3;
9,754;-3;
9,777;-3;
9,796;-1;
9,808;-3;
9,825;-3;
9,839;-3;
9,854;-1;
9,871;-3;
9,887;-3;
9,902;-3;
9,918;-3;
9,937;-3;
9,963;-3;
9,977;-3;
9,996;-3;
10,024;-3;
10,041;-3;
10,056;-3;
10,072;-3;
10,086;-3;
10,1;-3;
10,12;-3;
10,151;-3;
10,184;1;
10,21;-2;
10,225;-3;
10,245;-3;
10,275;-3;
10,304;-3;
10,319;-2;
10,34;-1;
