Start Time;08/05/2026 09:33:03

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;1;
0;1;
0,014;1;
0,03;1;
0,045;1;
0,061;1;
0,077;1;
0,094;1;
0,109;1;
0,125;1;
0,14;1;
0,156;1;
0,172;1;
0,189;1;
0,205;1;
0,221;1;
0,24;1;
0,252;1;
0,272;1;
0,284;1;
0,304;1;
0,316;1;
0,338;1;
0,368;1;
0,398;1;
0,412;1;
0,436;1;
0,458;1;
0,474;1;
0,491;1;
0,51;1;
0,54;1;
0,553;1;
0,569;1;
0,586;1;
0,602;1;
0,621;1;
0,656;1;
0,687;-1;
0,711;1;
0,728;-2;
0,744;1;
0,757;-2;
0,774;-3;
0,79;-3;
0,806;-1;
0,82;-3;
0,837;0;
0,852;0;
0,869;0;
0,885;-1;
0,901;0;
0,918;-1;
0,933;0;
0,947;0;
0,963;-2;
0,979;-3;
0,995;-2;
1,012;1;
1,028;-3;
1,059;-1;
1,077;1;
1,095;1;
1,123;1;
1,139;-1;
1,16;-2;
1,188;-1;
1,202;-2;
1,22;-3;
1,232;-2;
1,248;0;
1,262;-2;
1,289;-1;
1,312;-3;
1,327;0;
1,343;-1;
1,357;1;
1,372;0;
1,387;-3;
1,408;0;
1,434;-3;
1,453;-3;
1,466;-3;
1,482;-2;
1,498;-1;
1,513;1;
1,529;1;
1,542;1;
1,564;1;
1,595;1;
1,623;1;
1,638;1;
1,654;1;
1,669;1;
1,684;0;
1,701;1;
1,717;-1;
1,732;0;
1,745;1;
1,764;1;
1,778;1;
1,793;1;
1,812;1;
1,846;1;
1,875;1;
1,903;0;
1,923;1;
1,947;1;
1,968;0;
1,997;1;
2,01;1;
2,029;1;
2,042;1;
2,06;1;
2,076;1;
2,094;1;
2,122;0;
2,137;1;
2,153;1;
2,168;0;
2,182;1;
2,201;1;
2,215;1;
2,232;1;
2,246;1;
2,26;1;
2,277;1;
2,294;-1;
2,307;1;
2,325;1;
2,342;-1;
2,355;1;
2,374;1;
2,397;1;
2,422;1;
2,454;1;
2,483;1;
2,497;1;
2,517;1;
2,546;1;
2,562;1;
2,578;1;
2,593;1;
2,607;1;
2,627;1;
2,656;1;
2,673;1;
2,686;1;
2,707;1;
2,743;1;
2,766;1;
2,786;1;
2,8;1;
2,814;1;
2,834;1;
2,867;1;
2,892;1;
2,914;1;
2,939;0;
2,959;-1;
2,992;1;
3,018;0;
3,047;-1;
3,064;0;
3,08;0;
3,094;-1;
3,11;-2;
3,124;1;
3,142;1;
3,158;-3;
3,174;-1;
3,187;1;
3,204;1;
3,22;1;
3,239;1;
3,275;1;
3,305;1;
3,336;1;
3,363;-1;
3,377;1;
3,395;1;
3,409;1;
3,429;1;
3,456;1;
3,476;1;
3,506;1;
3,522;-1;
3,537;1;
3,555;-2;
3,568;1;
3,584;-1;
3,604;1;
3,632;1;
3,65;1;
3,679;1;
3,694;-1;
3,711;1;
3,728;-1;
3,742;1;
3,757;0;
3,773;1;
3,789;1;
3,804;1;
3,82;1;
3,834;-2;
3,849;1;
3,866;1;
3,882;1;
3,898;1;
3,913;1;
3,929;1;
3,946;1;
3,976;1;
3,99;1;
4,013;1;
4,038;1;
4,052;-1;
4,069;1;
4,086;1;
4,102;1;
4,118;1;
4,133;-1;
4,147;-1;
4,168;1;
4,193;1;
4,21;1;
4,225;1;
4,247;1;
4,271;1;
4,285;-1;
4,3;0;
4,316;-1;
4,332;1;
4,348;1;
4,363;1;
4,379;1;
4,392;0;
4,408;1;
4,424;1;
4,441;1;
4,455;1;
4,47;1;
4,486;1;
4,501;1;
4,517;0;
4,533;1;
4,548;1;
4,564;-1;
4,58;1;
4,598;1;
4,627;-2;
4,64;1;
4,656;1;
4,672;1;
4,687;1;
4,704;1;
4,725;1;
4,751;-2;
4,767;-1;
4,783;1;
4,798;-1;
4,813;1;
4,83;1;
4,845;1;
4,861;1;
4,88;1;
4,908;1;
4,924;1;
4,94;1;
4,954;1;
4,969;1;
4,985;1;
5;1;
5,015;1;
5,03;1;
5,045;1;
5,067;1;
5,097;1;
5,123;1;
5,138;1;
5,154;1;
5,169;1;
5,184;1;
5,199;1;
5,217;1;
5,231;1;
5,248;1;
5,275;1;
5,294;1;
5,307;1;
5,324;1;
5,344;1;
5,37;1;
5,386;1;
5,401;1;
5,414;1;
5,43;1;
5,447;1;
5,463;1;
5,478;1;
5,494;1;
5,51;1;
5,525;1;
5,538;1;
5,557;1;
5,584;1;
5,602;1;
5,616;1;
5,634;1;
5,648;1;
5,665;1;
5,679;1;
5,694;1;
5,714;1;
5,743;1;
5,762;1;
5,791;1;
5,808;1;
5,836;1;
5,852;1;
5,87;1;
5,882;1;
5,897;1;
5,913;1;
5,93;1;
5,946;1;
5,96;1;
5,976;1;
5,992;1;
6,007;1;
6,026;1;
6,057;1;
6,09;1;
6,116;1;
6,13;1;
6,151;1;
6,18;1;
6,197;1;
6,211;1;
6,229;1;
6,255;1;
6,275;1;
6,305;1;
6,332;1;
6,347;1;
6,362;1;
6,381;1;
6,393;1;
6,41;1;
6,424;1;
6,443;1;
6,47;1;
6,485;-1;
6,506;1;
6,543;1;
6,573;1;
6,596;1;
6,61;1;
6,625;1;
6,641;1;
6,668;1;
6,689;1;
6,704;1;
6,721;1;
6,737;1;
6,75;1;
6,771;1;
6,802;1;
6,829;1;
6,845;1;
6,86;1;
6,875;1;
6,892;1;
6,907;1;
6,922;1;
6,939;1;
6,952;1;
6,97;1;
6,986;1;
7;1;
7,018;1;
7,031;1;
7,05;1;
7,063;1;
7,08;1;
7,094;1;
7,11;1;
7,124;1;
7,141;1;
7,155;1;
7,171;1;
7,185;1;
7,202;1;
7,226;0;
7,252;1;
7,265;1;
7,282;1;
7,296;1;
7,314;1;
7,329;1;
7,348;1;
7,376;1;
7,391;1;
7,406;1;
7,419;1;
7,439;1;
7,466;0;
7,483;1;
7,498;1;
7,517;1;
7,546;-1;
7,559;1;
7,577;1;
7,593;1;
7,609;-1;
7,622;1;
7,64;1;
7,652;1;
7,668;-1;
7,686;0;
7,698;1;
7,714;1;
7,73;1;
7,746;1;
7,762;1;
7,779;1;
0;0,001953125;
0;0,001953125;
0,014;0;
0,028;0,001953125;
0,045;0,001953125;
0,059;0,001953125;
0,076;0,001953125;
0,09;0,001953125;
0,106;0,001953125;
0,122;0,001953125;
0,136;0,001953125;
0,155;0,001953125;
0,17;0,001953125;
0,188;0,001953125;
0,223;0,001953125;
0,248;-0,00390625;
0,262;0,001953125;
0,281;0,001953125;
0,293;0,001953125;
0,316;0,001953125;
0,353;0,001953125;
0,374;0,001953125;
0,395;0,001953125;
0,426;0,001953125;
0,454;0,001953125;
0,473;0,001953125;
0,504;0,001953125;
0,522;-0,005859375;
0,549;0,001953125;
0,567;0,001953125;
0,598;0,001953125;
0,626;0,001953125;
0,64;0,001953125;
0,656;0,001953125;
0,673;0,001953125;
0,688;0,001953125;
0,702;0,001953125;
0,719;0,001953125;
0,733;0,001953125;
0,749;0,001953125;
0,767;0,001953125;
0,796;0,001953125;
0,811;0,001953125;
0,828;0,001953125;
0,861;0,001953125;
0,894;0,001953125;
0,922;0,001953125;
0,952;0,001953125;
0,967;-0,001953125;
0,982;0,001953125;
1,002;0,001953125;
1,037;0,001953125;
1,06;0,001953125;
1,078;0,001953125;
1,093;0,001953125;
1,109;0,001953125;
1,125;0,001953125;
1,142;0,001953125;
1,155;-0,00390625;
1,174;-0,005859375;
1,205;-0,005859375;
1,219;-0,001953125;
1,239;-0,005859375;
1,267;-0,001953125;
1,285;0;
1,298;-0,005859375;
1,322;-0,00390625;
1,346;0;
1,365;-0,005859375;
1,384;-0,001953125;
1,412;0;
1,425;0,001953125;
1,438;0,001953125;
1,458;0,001953125;
1,471;0;
1,492;0,001953125;
1,52;0,001953125;
1,534;0,001953125;
1,556;0,001953125;
1,587;0,001953125;
1,621;0,001953125;
1,646;0,001953125;
1,669;0,001953125;
1,698;0,001953125;
1,728;0,001953125;
1,76;0,001953125;
1,787;0,001953125;
1,822;0,001953125;
1,852;0,001953125;
