Start Time;08/05/2026 15:09:27

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;1;
0;1;
0,027;1;
0,041;1;
0,058;1;
0,074;1;
0,09;1;
0,105;1;
0,12;1;
0,136;1;
0,151;1;
0,166;1;
0,183;1;
0,198;1;
0,214;1;
0,23;1;
0,245;1;
0,26;1;
0,283;1;
0,308;1;
0,324;1;
0,342;1;
0,374;1;
0,399;1;
0,418;1;
0,433;1;
0,447;1;
0,471;1;
0,494;1;
0,515;1;
0,54;1;
0,558;1;
0,574;1;
0,595;1;
0,625;1;
0,652;-1;
0,668;1;
0,684;-2;
0,703;-2;
0,736;-2;
0,76;-2;
0,778;0;
0,807;1;
0,821;-1;
0,84;1;
0,861;1;
0,887;1;
0,906;1;
0,93;-1;
0,945;0;
0,966;0;
0,998;1;
1,025;1;
1,042;1;
1,058;-3;
1,074;-1;
1,089;1;
1,105;1;
1,119;1;
1,133;1;
1,149;1;
1,166;1;
1,183;1;
1,197;1;
1,215;1;
1,229;1;
1,244;1;
1,26;0;
1,275;1;
1,312;1;
1,338;0;
1,355;-3;
1,371;0;
1,388;1;
1,418;-1;
1,433;-2;
1,446;1;
1,462;-1;
1,477;-3;
1,496;-3;
1,509;-2;
1,528;-2;
1,555;-3;
1,575;-3;
1,588;-1;
1,602;-3;
1,625;-3;
1,656;-3;
1,681;-3;
1,697;-3;
1,712;-3;
1,732;-3;
1,764;-3;
1,798;-3;
1,823;-3;
1,836;-3;
1,856;-3;
1,868;-3;
1,888;-3;
1,917;-3;
1,934;-3;
1,962;-3;
1,975;-3;
1,991;-3;
2,009;-3;
2,026;-3;
2,041;-3;
2,054;-3;
2,07;-3;
2,085;-3;
2,101;-3;
2,119;-3;
2,132;-3;
2,147;-3;
2,17;-1;
2,194;-2;
2,214;-3;
2,227;-3;
2,241;-3;
2,257;-3;
2,273;-3;
2,294;-3;
2,32;-3;
2,336;-3;
2,353;-3;
2,383;-3;
2,396;-3;
2,418;-3;
2,446;-3;
2,464;-3;
2,489;-1;
2,505;-3;
2,522;-3;
2,537;-2;
2,552;-3;
2,568;-3;
2,583;-3;
2,6;-3;
2,616;-3;
2,631;-3;
2,653;-3;
2,678;-3;
2,698;-3;
2,725;-3;
2,739;-2;
2,755;-3;
2,77;-3;
2,787;-3;
2,802;-2;
2,816;-3;
2,834;-3;
2,849;-3;
2,866;-3;
2,882;-3;
2,897;-3;
2,911;-3;
2,927;-3;
2,942;-3;
2,959;-3;
2,975;-1;
2,99;-2;
3,006;-3;
3,021;-3;
3,039;-3;
3,055;-3;
3,086;-3;
3,115;-3;
3,13;-3;
3,155;-2;
3,178;-3;
3,194;0;
3,208;-3;
3,223;-1;
3,243;-3;
3,269;-3;
3,284;-3;
3,301;-1;
3,315;-3;
3,33;-3;
3,346;-3;
3,362;-3;
3,377;-1;
3,391;-3;
3,407;-3;
3,423;-1;
3,439;-2;
3,454;-3;
3,468;-1;
3,488;-3;
3,518;-3;
3,531;-3;
3,55;-3;
3,578;-3;
3,597;0;
3,623;-3;
3,637;-2;
3,66;-1;
3,684;-3;
3,703;-1;
3,715;0;
3,732;-1;
3,746;0;
3,763;1;
3,787;0;
3,808;0;
3,823;1;
3,84;1;
3,86;1;
3,891;-3;
3,917;-3;
3,931;-1;
3,946;0;
3,962;1;
3,981;0;
4,01;1;
4,025;0;
4,04;-1;
4,056;-3;
4,071;-3;
4,087;0;
4,118;-3;
4,13;-3;
4,152;-3;
4,18;-1;
4,201;-3;
4,223;-3;
4,24;-3;
4,257;-3;
4,288;-2;
4,304;-3;
4,316;-2;
4,335;-2;
4,35;-3;
4,366;-1;
4,396;1;
4,41;1;
4,427;1;
4,441;-2;
4,457;0;
4,474;-1;
4,491;0;
4,519;-1;
4,535;0;
4,552;-3;
4,571;-1;
4,599;1;
4,616;1;
4,644;-1;
4,659;0;
4,677;1;
4,712;-2;
4,738;1;
4,752;1;
4,766;1;
4,783;1;
4,797;1;
4,816;0;
4,833;0;
4,862;-1;
4,878;-3;
4,894;-3;
4,909;-3;
4,927;-3;
4,956;-3;
4,968;-1;
4,988;-3;
5,001;-3;
5,017;-3;
5,037;-3;
5,063;-3;
5,077;-1;
5,099;-3;
5,127;-3;
5,14;-1;
5,156;1;
5,17;-2;
5,185;-3;
5,203;0;
5,221;-2;
5,249;1;
5,27;-1;
5,303;1;
5,33;-3;
5,36;-3;
5,388;0;
5,405;1;
5,421;1;
5,435;1;
5,45;0;
5,466;1;
5,481;1;
5,497;-1;
5,512;0;
5,527;-3;
5,542;-1;
5,564;-2;
5,589;-2;
5,608;-2;
5,637;-3;
5,652;-1;
5,666;-3;
5,686;0;
5,715;1;
5,73;-1;
5,746;-3;
5,762;-1;
5,779;-3;
5,797;0;
5,829;-3;
5,862;1;
5,887;-1;
5,901;1;
5,919;1;
5,934;1;
5,951;0;
5,966;1;
5,981;1;
5,997;1;
6,011;1;
6,026;1;
6,042;1;
0;0,001953125;
0;0,001953125;
0,014;-0,001953125;
0,029;0,001953125;
0,046;0;
0,061;0,001953125;
0,078;0,001953125;
0,091;0,001953125;
0,11;0,001953125;
0,141;0,001953125;
0,157;0,001953125;
0,184;0,001953125;
0,2;0,001953125;
0,219;0,001953125;
0,249;0,001953125;
0,263;0,001953125;
0,275;0,001953125;
0,291;0,001953125;
0,307;0,001953125;
0,322;0,001953125;
0,337;0,001953125;
0,355;0,001953125;
0,374;0,001953125;
0,404;0,001953125;
0,419;0,001953125;
0,437;0,001953125;
0,465;0,001953125;
0,485;0,001953125;
0,509;0,001953125;
0,535;0,001953125;
0,556;0,001953125;
0,57;0,001953125;
0,586;0,001953125;
0,602;0,001953125;
0,619;0,001953125;
0,632;0,001953125;
0,657;0,001953125;
0,681;0,001953125;
0,697;0,001953125;
0,714;0,001953125;
0,744;0,001953125;
0,759;0,001953125;
0,775;0,001953125;
0,792;0,001953125;
0,825;0,001953125;
0,858;0,001953125;
0,888;0,001953125;
0,913;0,001953125;
0,933;0,001953125;
0,963;0,001953125;
0,994;0,001953125;
1,023;0,001953125;
1,036;0,001953125;
1,057;0,001953125;
1,088;0,001953125;
1,116;0,001953125;
1,131;0,001953125;
1,153;0,001953125;
1,177;0,001953125;
1,19;0,001953125;
1,209;0,001953125;
1,222;0,001953125;
1,241;0,001953125;
1,274;0,001953125;
1,303;0,001953125;
1,316;0,001953125;
1,336;0,001953125;
1,363;0,001953125;
1,381;0,001953125;
1,414;0,001953125;
1,442;0,001953125;
1,455;0,001953125;
1,474;0,001953125;
1,501;0,001953125;
1,524;0,001953125;
1,552;0,001953125;
1,565;0,001953125;
1,58;0,001953125;
1,596;0,001953125;
1,61;0,001953125;
1,626;0,001953125;
1,643;0,001953125;
1,658;0,001953125;
1,674;0,001953125;
1,689;0,001953125;
1,705;0,001953125;
1,723;0,001953125;
1,755;0,001953125;
1,784;0,001953125;
1,798;0,001953125;
1,816;0,001953125;
1,828;0,001953125;
1,852;0,001953125;
1,88;0,001953125;
1,914;0,001953125;
1,938;0,001953125;
1,954;0,001953125;
1,967;0,001953125;
1,986;0,001953125;
1,998;0,001953125;
2,016;0,001953125;
2,03;0,001953125;
2,045;-0,001953125;
2,062;0,001953125;
2,082;0,001953125;
2,107;0,001953125;
2,125;0,001953125;
2,138;0,001953125;
2,152;0,001953125;
2,169;0,001953125;
2,185;-0,001953125;
2,2;0,001953125;
2,216;0,001953125;
2,23;0,001953125;
2,25;0,001953125;
2,277;0,001953125;
2,296;0,001953125;
2,33;0,001953125;
2,355;0,001953125;
2,374;0,001953125;
2,399;0,001953125;
2,419;0,001953125;
2,449;0,001953125;
2,462;0,001953125;
2,481;0,001953125;
2,51;0,001953125;
2,528;0,001953125;
2,561;0,001953125;
2,587;0,001953125;
2,602;0;
2,615;0,001953125;
2,641;0,001953125;
2,665;0,001953125;
2,681;0,001953125;
2,715;0,001953125;
2,742;0,001953125;
2,758;0,001953125;
2,771;0,001953125;
2,794;0,001953125;
2,819;0,001953125;
2,835;0,001953125;
2,856;0,001953125;
2,885;0,001953125;
