Start Time;06/05/2026 09:39:35

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;2;
0;2;
0,024;2;
0,039;2;
0,053;2;
0,07;2;
0,084;2;
0,098;2;
0,115;2;
0,13;2;
0,144;2;
0,16;2;
0,175;2;
0,19;2;
0,206;2;
0,224;2;
0,255;2;
0,282;2;
0,298;2;
0,314;2;
0,336;2;
0,36;2;
0,38;2;
0,392;2;
0,413;1;
0,44;1;
0,457;1;
0,471;1;
0,486;1;
0,503;-1;
0,52;1;
0,538;1;
0,563;1;
0,581;1;
0,594;0;
0,61;1;
0,633;-1;
0,664;-3;
0,688;-3;
0,7;-3;
0,717;-3;
0,732;-3;
0,755;-3;
0,781;-3;
0,794;-3;
0,818;-3;
0,84;-3;
0,853;-3;
0,869;-3;
0,888;-3;
0,904;-3;
0,919;-3;
0,937;-1;
0,967;-1;
0,995;-3;
1,014;-2;
1,042;-3;
1,061;1;
1,09;-1;
1,103;-3;
1,124;-3;
1,154;0;
1,186;-2;
1,216;-3;
1,243;-2;
1,261;1;
1,291;0;
1,305;1;
1,322;1;
1,339;0;
1,351;0;
1,374;1;
1,397;-1;
1,412;0;
1,431;1;
1,451;1;
1,474;1;
1,493;1;
1,523;-3;
1,543;-3;
1,568;-1;
1,584;-3;
1,601;0;
1,625;-2;
1,647;-3;
1,662;0;
1,686;1;
1,709;1;
1,726;0;
1,749;-2;
1,777;0;
1,8;1;
1,817;-2;
1,832;1;
1,848;1;
1,863;1;
1,88;1;
1,9;-2;
1,926;1;
1,94;1;
1,956;1;
1,974;1;
1,991;-1;
2,019;0;
2,036;-3;
2,049;-2;
2,067;-2;
2,083;-3;
2,096;0;
2,112;1;
2,128;1;
2,142;1;
2,158;-1;
2,174;-3;
2,192;-3;
2,206;-3;
2,22;-3;
2,238;-3;
2,25;-3;
2,265;-3;
2,282;-3;
2,295;-3;
2,314;-3;
2,327;-3;
2,344;-3;
2,365;-3;
2,393;-3;
2,425;-3;
2,453;-3;
2,468;-1;
2,482;-3;
2,499;-3;
2,514;-3;
2,531;-3;
2,546;-3;
2,559;-3;
2,577;-3;
2,596;-3;
2,628;-2;
2,656;-3;
2,669;-3;
2,685;-1;
2,7;-3;
2,716;-3;
2,738;-3;
2,766;-3;
2,78;-3;
2,794;-3;
2,812;-3;
2,834;-3;
2,863;-3;
2,888;-3;
2,911;-2;
2,936;-3;
2,954;-1;
2,975;-3;
3,006;-3;
3,028;-3;
3,049;-3;
3,076;-2;
3,093;-1;
3,107;-3;
3,124;-3;
3,141;-3;
3,171;-3;
3,188;-3;
3,216;-3;
3,234;-3;
3,25;-3;
3,267;-3;
3,294;-3;
3,31;-3;
3,326;-3;
3,341;-3;
3,355;-3;
3,375;-3;
3,402;-3;
3,419;-3;
3,434;-1;
3,45;-2;
3,463;-3;
3,48;-3;
3,495;-3;
3,509;-3;
3,525;-3;
3,557;-3;
3,573;-3;
3,596;-3;
3,62;-3;
3,64;-3;
3,668;-3;
3,697;-3;
3,714;-3;
3,732;-3;
3,765;-3;
3,791;-3;
3,804;-3;
3,82;-3;
3,84;-3;
3,87;-3;
3,902;-3;
0;-0,005859375;
0;-0,005859375;
0,015;-0,005859375;
0,03;-0,005859375;
0,046;-0,005859375;
0,061;-0,005859375;
0,076;-0,005859375;
0,093;-0,005859375;
0,111;-0,005859375;
0,142;-0,005859375;
0,157;-0,005859375;
0,179;-0,005859375;
0,202;-0,005859375;
0,224;-0,005859375;
0,249;-0,005859375;
0,266;-0,005859375;
0,286;-0,00390625;
0,313;-0,005859375;
0,33;-0,005859375;
0,36;-0,005859375;
0,377;-0,005859375;
0,407;-0,005859375;
