Start Time;08/05/2026 11:59:31

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;1;
0;0;
0,033;1;
0,054;1;
0,071;1;
0,084;1;
0,102;1;
0,116;1;
0,132;1;
0,147;1;
0,163;1;
0,179;1;
0,195;1;
0,21;1;
0,227;1;
0,244;1;
0,26;1;
0,275;1;
0,29;1;
0,306;1;
0,322;1;
0,337;1;
0,352;1;
0,368;1;
0,385;1;
0,398;1;
0,42;1;
0,448;1;
0,465;1;
0,487;1;
0,508;1;
0,523;1;
0,538;-1;
0,554;1;
0,57;1;
0,589;1;
0,604;1;
0,617;1;
0,632;1;
0,649;1;
0,664;-1;
0,683;0;
0,696;1;
0,715;1;
0,747;0;
0,774;-3;
0,791;0;
0,807;-2;
0,832;1;
0,854;-1;
0,871;1;
0,9;1;
0,916;1;
0,929;1;
0,947;1;
0,962;1;
0,987;1;
1,011;1;
1,042;1;
1,054;1;
1,074;1;
1,102;0;
1,117;1;
1,132;1;
1,147;0;
1,164;1;
1,183;-2;
1,209;1;
1,229;-1;
1,241;1;
1,265;-2;
1,288;0;
1,309;1;
1,334;0;
1,352;1;
1,364;1;
1,381;1;
1,397;1;
1,416;0;
1,441;1;
1,465;0;
1,491;1;
1,51;-1;
1,538;1;
1,565;1;
1,581;1;
1,597;1;
1,614;1;
1,631;1;
1,665;1;
1,691;1;
1,706;1;
1,722;1;
1,739;1;
1,768;1;
1,784;1;
1,802;1;
1,828;1;
1,846;-1;
1,863;-3;
1,898;-2;
1,925;0;
1,954;1;
1,98;1;
2,008;1;
2,032;1;
2,048;1;
2,064;1;
2,08;1;
2,102;1;
2,125;1;
2,141;1;
2,157;1;
2,173;1;
2,19;1;
2,221;1;
2,237;1;
2,271;1;
2,296;1;
2,31;1;
2,33;1;
2,357;1;
2,374;1;
2,389;1;
2,408;1;
2,44;1;
2,472;1;
2,504;1;
2,53;1;
2,547;-2;
2,577;1;
2,606;1;
2,622;1;
2,64;1;
2,665;1;
2,688;1;
2,714;1;
2,728;-2;
2,745;-1;
2,76;1;
2,776;1;
2,792;1;
2,808;-1;
2,824;1;
2,838;-1;
2,856;1;
2,871;0;
0;-0,001953125;
0;0,001953125;
0,014;-0,001953125;
0,029;-0,005859375;
0,048;-0,001953125;
0,067;0,001953125;
0,1;0,001953125;
0,13;0,001953125;
0,158;-0,001953125;
0,171;-0,005859375;
0,187;-0,001953125;
0,203;-0,001953125;
0,225;0;
0,251;-0,00390625;
0,272;0,001953125;
0,301;0,001953125;
0,33;0,001953125;
0,35;0,001953125;
0,379;0;
0,409;-0,001953125;
0,429;0,001953125;
0,458;0,001953125;
0,492;0,001953125;
0,517;0,001953125;
0,536;0,001953125;
0,567;0,001953125;
0,605;0,001953125;
0,624;0,001953125;
0,646;0;
0,672;0,001953125;
0,688;0,001953125;
0,705;0,001953125;
0,721;0,001953125;
0,749;0,001953125;
0,764;0,001953125;
0,784;0,001953125;
0,797;0,001953125;
0,817;0,001953125;
0,847;0,001953125;
0,873;0,001953125;
0,888;0,001953125;
0,905;0,001953125;
0,921;0,001953125;
0,938;0,001953125;
0,969;0,001953125;
0,982;0,001953125;
1;0,001953125;
1,016;0,001953125;
1,029;0;
1,046;0,001953125;
1,059;0,001953125;
1,076;-0,001953125;
1,091;0;
1,107;-0,001953125;
1,123;0,001953125;
1,141;0,001953125;
1,17;0,001953125;
1,186;0,001953125;
1,201;0,001953125;
1,218;0,001953125;
1,237;0,001953125;
1,261;0,001953125;
1,277;0,001953125;
1,292;0,001953125;
1,315;0,001953125;
1,344;0,001953125;
1,374;0,001953125;
1,403;0,001953125;
1,433;0,001953125;
1,466;0,001953125;
1,495;0,001953125;
1,514;0,001953125;
1,545;0,001953125;
1,571;0,001953125;
1,588;0,001953125;
1,603;0,001953125;
1,618;0,001953125;
1,636;0,001953125;
1,651;0,001953125;
1,68;0,001953125;
1,697;0,001953125;
1,711;0,001953125;
1,728;0,001953125;
1,744;0,001953125;
1,756;0,001953125;
1,778;0,001953125;
1,809;0,001953125;
1,838;0,001953125;
1,867;0,001953125;
1,898;0,001953125;
1,912;0,001953125;
1,927;0,001953125;
1,95;0,001953125;
1,973;0,001953125;
1,986;0,001953125;
2,002;0,001953125;
2,028;0,001953125;
2,049;0,001953125;
2,066;0;
2,089;0,001953125;
2,111;0,001953125;
2,127;0,001953125;
2,148;0,001953125;
2,184;0,001953125;
2,205;0;
2,224;0,001953125;
2,254;0,001953125;
2,29;0,001953125;
2,319;0,001953125;
2,351;0,001953125;
2,384;0,001953125;
2,415;0,001953125;
2,443;0,001953125;
2,475;0,001953125;
2,502;0,001953125;
2,519;0,001953125;
2,556;0,001953125;
2,586;0,001953125;
2,621;0,001953125;
2,652;0,001953125;
2,683;0,001953125;
2,707;0,001953125;
2,73;0,001953125;
2,756;0,001953125;
2,786;0,001953125;
2,816;0,001953125;
2,831;0,001953125;
2,844;0,001953125;
2,859;0,001953125;
2,875;0,001953125;
2,891;0,001953125;
2,906;0,001953125;
2,928;0,001953125;
2,96;0,001953125;
2,99;0,001953125;
3,024;0,001953125;
3,048;0,001953125;
3,069;0,001953125;
3,094;0,001953125;
3,109;0,001953125;
3,124;0,001953125;
3,14;0,001953125;
3,157;0,001953125;
3,175;0,001953125;
3,187;0,001953125;
3,204;0,001953125;
3,22;0,001953125;
3,242;0,001953125;
3,269;0,001953125;
3,3;0,001953125;
3,318;0,001953125;
3,345;0,001953125;
3,364;0,001953125;
3,398;-0,001953125;
3,422;0;
3,439;0,001953125;
3,457;0,001953125;
3,488;0,001953125;
3,52;0,001953125;
3,553;0,001953125;
3,58;0,001953125;
3,596;0,001953125;
3,628;0,001953125;
3,658;0,001953125;
3,688;0,001953125;
3,706;0,001953125;
3,735;0,001953125;
3,75;0,001953125;
3,779;0,001953125;
3,797;0,001953125;
3,827;0,001953125;
3,84;0,001953125;
3,858;0,001953125;
3,887;0,001953125;
3,904;0,001953125;
3,942;0,001953125;
3,963;0,001953125;
3,977;0,001953125;
3,996;0,001953125;
4,008;0,001953125;
4,029;0,001953125;
4,06;0,001953125;
4,087;0,001953125;
4,11;0,001953125;
4,138;0,001953125;
4,175;0,001953125;
4,198;0,001953125;
4,214;0,001953125;
4,227;0,001953125;
4,246;0,001953125;
4,275;0,001953125;
4,295;0,001953125;
4,326;0,001953125;
4,353;0,001953125;
4,371;0,001953125;
4,402;0,001953125;
4,417;0,001953125;
4,43;0,001953125;
4,449;0,001953125;
4,467;0,001953125;
4,498;0,001953125;
4,536;0;
4,556;0,001953125;
4,572;0,001953125;
4,592;0,001953125;
4,622;0,001953125;
4,651;0,001953125;
4,664;0,001953125;
4,683;0,001953125;
4,697;0,001953125;
4,718;0,001953125;
4,752;0,001953125;
4,784;0,001953125;
4,814;0,001953125;
4,846;0,001953125;
4,877;0,001953125;
4,906;0,001953125;
4,938;0,001953125;
4,969;0,001953125;
5;0,001953125;
5,027;0,001953125;
5,06;0,001953125;
5,093;0,001953125;
5,116;0,001953125;
5,136;0,001953125;
5,161;0,001953125;
5,178;0,001953125;
5,196;0,001953125;
5,226;0,001953125;
5,241;0,001953125;
5,256;0,001953125;
5,279;0,001953125;
5,314;0,001953125;
5,336;0,001953125;
5,356;0,001953125;
5,386;0,001953125;
5,412;0,001953125;
5,427;0,001953125;
5,444;0,001953125;
5,463;0,001953125;
5,497;0,001953125;
5,524;0,001953125;
5,559;0,001953125;
5,585;0,001953125;
5,601;0,001953125;
5,618;0,001953125;
5,647;0,001953125;
5,662;0,001953125;
5,681;0,001953125;
5,695;0,001953125;
5,711;0,001953125;
5,727;0,001953125;
5,742;0,001953125;
5,758;0,001953125;
5,776;0,001953125;
5,809;0,001953125;
5,841;0,001953125;
5,871;0,001953125;
5,899;0,001953125;
5,915;0,001953125;
5,931;0,001953125;
5,948;0,001953125;
5,978;0,001953125;
6,005;0,001953125;
6,025;0,001953125;
6,061;0,001953125;
6,085;0,001953125;
6,102;0,001953125;
6,132;0,001953125;
6,149;0,001953125;
6,178;0,001953125;
6,195;0,001953125;
6,208;0,001953125;
6,224;0,001953125;
6,239;0,001953125;
6,255;0,001953125;
6,273;0,001953125;
6,305;0,001953125;
6,337;0,001953125;
6,376;0,001953125;
6,394;0,001953125;
6,41;0,001953125;
6,426;0,001953125;
6,442;0,001953125;
6,46;0,001953125;
6,488;0,001953125;
6,504;0,001953125;
6,522;0,001953125;
6,556;0,001953125;
6,581;0,001953125;
6,597;0,001953125;
6,61;0,001953125;
6,635;0,001953125;
6,657;0,001953125;
6,673;0,001953125;
6,688;0,001953125;
6,711;0,001953125;
6,739;0,001953125;
6,773;0,001953125;
6,797;0,001953125;
6,819;0,001953125;
6,847;0,001953125;
6,862;0,001953125;
6,88;0,001953125;
6,909;0,001953125;
6,924;0,001953125;
6,94;0,001953125;
6,954;0,001953125;
6,971;0,001953125;
6,984;0,001953125;
7,002;0,001953125;
7,018;0,001953125;
7,051;0,001953125;
7,078;0,001953125;
7,092;0,001953125;
7,111;0,001953125;
7,144;0,001953125;
7,177;0,001953125;
7,2;0,001953125;
7,216;0,001953125;
7,234;0,001953125;
7,249;0,001953125;
7,268;0,001953125;
7,296;0,001953125;
7,328;0,001953125;
7,357;0,001953125;
7,369;0,001953125;
7,391;0,001953125;
7,42;0,001953125;
7,435;0,001953125;
7,451;0,001953125;
7,469;0,001953125;
7,497;0,001953125;
7,513;0,001953125;
7,527;0,001953125;
7,546;0,001953125;
7,573;0,001953125;
7,59;0,001953125;
7,608;0,001953125;
7,642;0,001953125;
7,666;0,001953125;
7,681;0,001953125;
7,697;0,001953125;
7,714;0,001953125;
7,733;0,001953125;
7,763;0,001953125;
7,78;0,001953125;
7,808;0,001953125;
7,824;0,001953125;
7,844;0,001953125;
7,875;0,001953125;
7,906;0,001953125;
7,939;0,001953125;
7,969;0,001953125;
8,003;0,001953125;
8,036;0,001953125;
8,065;0,001953125;
8,097;0,001953125;
8,128;0,001953125;
8,156;0,001953125;
8,19;0,001953125;
8,223;0,001953125;
8,253;0,001953125;
8,285;0,001953125;
8,315;0,001953125;
8,348;0,001953125;
8,381;0,001953125;
8,4;0,001953125;
8,418;0,001953125;
8,432;0,001953125;
8,449;0,001953125;
8,461;0,001953125;
8,477;0,001953125;
8,498;0,001953125;
8,526;0,001953125;
8,541;0,001953125;
8,558;0,001953125;
8,587;0,001953125;
8,603;0,001953125;
8,619;0,001953125;
8,647;0,001953125;
8,663;0,001953125;
8,679;0,001953125;
8,697;0,001953125;
8,728;0,001953125;
8,759;0,001953125;
8,788;0,001953125;
8,805;0,001953125;
8,832;0,001953125;
8,849;0,001953125;
8,864;0,001953125;
8,884;0,001953125;
8,911;0,001953125;
8,93;0,001953125;
8,96;0,001953125;
8,99;0,001953125;
9,006;0,001953125;
9,026;0,001953125;
9,053;0,001953125;
9,068;0,001953125;
9,09;0,001953125;
9,115;0,001953125;
9,132;0,001953125;
9,16;0,001953125;
9,176;0,001953125;
9,193;0,001953125;
9,207;0,001953125;
9,221;0,001953125;
9,237;0,001953125;
9,257;0,001953125;
9,287;0,001953125;
9,316;0,001953125;
9,352;0,001953125;
9,382;0,001953125;
9,406;0,001953125;
9,422;0,001953125;
9,441;0,001953125;
9,474;0,001953125;
9,503;0,001953125;
9,534;0,001953125;
9,565;0,001953125;
9,6;0,001953125;
9,631;0,001953125;
9,664;0,001953125;
9,696;0,001953125;
9,726;0,001953125;
9,756;0,001953125;
9,784;0,001953125;
9,817;0,001953125;
9,85;0,001953125;
9,88;0,001953125;
9,906;0,001953125;
9,918;0,001953125;
9,944;0,001953125;
9,964;0,001953125;
9,98;0,001953125;
9,997;0,001953125;
10,012;0,001953125;
10,037;0,001953125;
10,061;0,001953125;
10,098;0,001953125;
10,13;0,001953125;
10,15;0,001953125;
10,164;0,001953125;
10,181;0,001953125;
10,198;0,001953125;
10,215;0,001953125;
10,241;0,001953125;
10,26;0,001953125;
10,273;0,001953125;
10,29;0,001953125;
10,309;0,001953125;
10,338;0,001953125;
10,372;0,001953125;
10,397;0,001953125;
10,419;0,001953125;
10,444;0,001953125;
10,459;0,001953125;
10,473;0,001953125;
10,49;0,001953125;
10,507;0,001953125;
10,522;0,001953125;
10,538;0,001953125;
10,55;0,001953125;
10,569;0,001953125;
10,596;0,001953125;
10,621;0,001953125;
10,645;0,001953125;
10,661;0,001953125;
10,675;0,001953125;
10,69;0,001953125;
10,707;0,001953125;
10,722;0,001953125;
10,738;0,001953125;
10,758;0,001953125;
10,783;0,001953125;
10,802;0,001953125;
10,818;0,001953125;
10,847;0,001953125;
10,861;0,001953125;
10,881;0,001953125;
10,908;0,001953125;
10,926;0,001953125;
10,942;0,001953125;
10,957;0,001953125;
10,974;0,001953125;
10,992;0,001953125;
11,018;0,001953125;
11,036;0,001953125;
11,052;0,001953125;
11,066;0,001953125;
11,09;0,001953125;
11,114;0,001953125;
11,13;0,001953125;
11,149;0,001953125;
11,176;0,001953125;
11,193;0,001953125;
11,209;0,001953125;
11,226;0,001953125;
11,254;0,001953125;
11,271;0,001953125;
11,286;0,001953125;
11,299;0,001953125;
11,317;0,001953125;
11,33;0,001953125;
11,352;0,001953125;
11,38;0,001953125;
11,4;0,001953125;
11,426;0,001953125;
11,444;0,001953125;
11,47;0,001953125;
11,487;0,001953125;
11,501;0,001953125;
11,515;0,001953125;
11,532;0,001953125;
11,551;0,001953125;
11,579;0,001953125;
11,594;0,001953125;
11,615;0,001953125;
11,642;0,001953125;
11,672;0,001953125;
11,691;0,001953125;
11,72;0,001953125;
11,735;0,001953125;
11,748;0,001953125;
11,766;0,001953125;
11,786;0,001953125;
11,811;0,001953125;
11,838;0,001953125;
11,858;0,001953125;
11,876;0,001953125;
11,899;0,001953125;
11,923;0,001953125;
11,94;0,001953125;
11,955;0,001953125;
11,971;0,001953125;
11,987;0,001953125;
12,001;0,001953125;
12,017;0,001953125;
12,033;0,001953125;
12,048;0,001953125;
12,064;0,001953125;
12,08;0,001953125;
12,11;0,001953125;
12,127;0,001953125;
12,143;0,001953125;
12,156;0,001953125;
12,182;0,001953125;
12,203;0,001953125;
12,218;0,001953125;
12,234;0,001953125;
12,248;0,001953125;
12,263;0,001953125;
12,281;0,001953125;
12,295;0,001953125;
12,312;0,001953125;
12,324;0,001953125;
12,343;0,001953125;
12,356;0,001953125;
12,372;0,001953125;
12,388;0,001953125;
12,405;0,001953125;
12,418;0,001953125;
12,441;0,001953125;
12,468;0,001953125;
12,499;0,001953125;
12,519;0,001953125;
12,543;0,001953125;
12,562;0,001953125;
12,574;0,001953125;
12,598;0,001953125;
12,622;0,001953125;
12,642;0,001953125;
12,67;0,001953125;
12,686;0,001953125;
12,719;0,001953125;
12,747;0,001953125;
12,778;0,001953125;
12,792;0,001953125;
12,806;0,001953125;
12,83;0,001953125;
12,855;0,001953125;
12,871;0,001953125;
12,885;0,001953125;
12,903;0,001953125;
12,919;0,001953125;
12,934;0,001953125;
12,948;0,001953125;
12,962;0,001953125;
12,984;0,001953125;
13,012;0,001953125;
13,026;0,001953125;
13,043;0,001953125;
13,057;0,001953125;
13,074;0,001953125;
13,088;0,001953125;
13,107;0,001953125;
13,142;0,001953125;
13,167;0,001953125;
13,183;0,001953125;
13,198;0,001953125;
13,216;0,001953125;
13,247;0,001953125;
13,26;0,001953125;
13,276;0,001953125;
13,291;0,001953125;
13,306;0,001953125;
13,322;0,001953125;
13,342;0,001953125;
13,37;0,001953125;
13,39;0,001953125;
13,422;0,001953125;
13,447;0,001953125;
13,464;0,001953125;
13,477;0,001953125;
13,497;0,001953125;
13,526;0,001953125;
13,54;0,001953125;
13,557;0,001953125;
13,578;0,001953125;
13,603;0,001953125;
13,622;0,001953125;
13,653;0,001953125;
13,681;0,001953125;
13,699;0,001953125;
13,726;0,001953125;
13,741;0,001953125;
13,761;0,001953125;
13,787;0,001953125;
13,805;0,001953125;
13,838;0,001953125;
13,867;0,001953125;
13,887;0,001953125;
13,911;0,001953125;
13,929;0,001953125;
13,942;0,001953125;
13,96;0,001953125;
13,971;0,001953125;
13,992;0,001953125;
14,019;0,001953125;
14,036;0,001953125;
14,05;0,001953125;
14,069;0,001953125;
14,083;0,001953125;
14,098;0,001953125;
14,112;0,001953125;
14,132;0,001953125;
14,16;0,001953125;
14,181;0,001953125;
14,209;0,001953125;
14,224;0,001953125;
14,238;0,001953125;
14,254;0,001953125;
14,269;0,001953125;
14,292;0,001953125;
14,315;0,001953125;
14,335;0,001953125;
14,363;0,001953125;
14,381;0,001953125;
14,413;0,001953125;
14,439;0,001953125;
14,455;0,001953125;
14,47;0,001953125;
14,484;0,001953125;
14,499;0,001953125;
14,514;0,001953125;
14,532;0,001953125;
14,562;0,001953125;
14,582;0,001953125;
14,606;0,001953125;
14,623;0,001953125;
14,643;0,001953125;
14,67;0,001953125;
14,688;0,001953125;
14,717;0,001953125;
14,734;0,001953125;
14,761;0,001953125;
14,779;0,001953125;
14,795;0,001953125;
14,808;0,001953125;
14,825;0,001953125;
14,842;0,001953125;
14,869;0,001953125;
14,89;0,001953125;
14,92;0,001953125;
14,948;0,001953125;
14,963;0,001953125;
14,979;0,001953125;
14,997;0,001953125;
15,024;0,001953125;
15,039;0,001953125;
15,056;0,001953125;
15,075;0,001953125;
15,105;0,001953125;
15,135;0,001953125;
15,15;0,001953125;
15,165;0,001953125;
15,182;0,001953125;
15,196;0,001953125;
15,22;0,001953125;
15,244;0,001953125;
15,258;0,001953125;
15,276;0,001953125;
15,296;0,001953125;
15,324;0,001953125;
15,353;0,001953125;
15,366;0,001953125;
15,386;0,001953125;
15,4;0,001953125;
15,422;0,001953125;
15,445;0,001953125;
15,465;0,001953125;
15,499;0,001953125;
15,523;0,001953125;
15,544;0,001953125;
15,572;0,001953125;
15,593;0,001953125;
15,617;0,001953125;
15,633;0,001953125;
15,653;0,001953125;
15,682;0,001953125;
15,71;0,001953125;
15,734;0,001953125;
15,758;0,001953125;
15,776;0,001953125;
15,806;0,001953125;
15,822;0,001953125;
15,836;0,001953125;
15,853;0,001953125;
15,867;0,001953125;
15,885;0,001953125;
15,9;0,001953125;
15,917;0,001953125;
15,944;0,001953125;
15,963;0,001953125;
15,992;0,001953125;
16,014;0,001953125;
16,039;0,001953125;
16,053;0,001953125;
16,067;0,001953125;
16,085;0,001953125;
16,099;0,001953125;
16,113;0,001953125;
16,131;0,001953125;
16,144;0,001953125;
16,16;0,001953125;
16,178;0,001953125;
16,191;0,001953125;
16,21;0,001953125;
16,222;0,001953125;
16,24;0,001953125;
16,256;0,001953125;
16,285;0,001953125;
16,3;0,001953125;
16,316;0,001953125;
16,331;0,001953125;
16,346;0,001953125;
16,36;0,001953125;
16,377;0,001953125;
16,392;0,001953125;
16,412;0,001953125;
16,441;0,001953125;
16,455;0,001953125;
16,48;0,001953125;
16,502;0,001953125;
16,517;0,001953125;
16,533;0,001953125;
16,549;0,001953125;
16,566;0,001953125;
16,579;0,001953125;
16,597;0,001953125;
16,611;0,001953125;
16,629;0,001953125;
16,644;0,001953125;
16,668;0,001953125;
16,693;0,001953125;
16,726;0,001953125;
16,753;0,001953125;
16,767;0,001953125;
16,783;0,001953125;
16,8;0,001953125;
16,815;0,001953125;
16,832;0,001953125;
16,846;0,001953125;
16,863;0,001953125;
16,879;0,001953125;
16,908;0,001953125;
16,924;0,001953125;
16,939;0,001953125;
16,96;0,001953125;
16,988;0,001953125;
17,003;0,001953125;
17,016;0,001953125;
17,034;0,001953125;
17,064;0,001953125;
17,082;0,001953125;
17,108;0,001953125;
17,126;0,001953125;
17,138;0,001953125;
17,156;0,001953125;
17,171;0,001953125;
17,188;0,001953125;
17,204;0,001953125;
17,219;0,001953125;
17,234;0,001953125;
17,25;0,001953125;
17,264;0,001953125;
17,279;0,001953125;
17,295;0,001953125;
17,311;0,001953125;
17,326;0,001953125;
17,34;0,001953125;
17,355;0,001953125;
17,372;0,001953125;
17,391;0,001953125;
17,419;0,001953125;
17,434;0,001953125;
17,453;0,001953125;
17,482;0,001953125;
17,498;0,001953125;
17,512;0,001953125;
17,528;0,001953125;
17,543;0,001953125;
17,561;0,001953125;
17,575;0,001953125;
17,589;0,001953125;
17,607;0,001953125;
17,62;0,001953125;
17,636;0,001953125;
17,656;0,001953125;
17,686;0,001953125;
17,714;0,001953125;
17,731;0,001953125;
17,76;0,001953125;
17,775;0,001953125;
17,792;0,001953125;
17,808;0,001953125;
17,823;0,001953125;
17,84;0,001953125;
17,852;0,001953125;
17,872;0,001953125;
17,899;0,001953125;
17,917;0,001953125;
17,931;0,001953125;
17,946;0,001953125;
17,964;0,001953125;
17,977;0,001953125;
