Start Time;08/05/2026 11:32:59

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;-1;
0;0;
0,025;1;
0,038;0;
0,054;1;
0,07;1;
0,086;1;
0,104;1;
0,118;1;
0,134;1;
0,149;1;
0,166;1;
0,182;1;
0,198;1;
0,213;1;
0,237;1;
0,26;1;
0,279;1;
0,292;1;
0,312;1;
0,34;1;
0,362;1;
0,386;1;
0,402;1;
0,422;1;
0,457;0;
0,483;-1;
0,51;1;
0,524;1;
0,539;1;
0,555;1;
0,571;1;
0,586;1;
0,605;1;
0,621;1;
0,633;1;
0,648;-3;
0,671;-3;
0,695;-1;
0,712;-2;
0,728;1;
0,746;1;
0,776;-3;
0,804;0;
0,821;1;
0,836;-1;
0,853;-1;
0,884;-1;
0,912;-3;
0,927;-3;
0,944;-3;
0,96;-3;
0,973;0;
0,994;0;
1,022;-3;
1,04;0;
1,068;-3;
1,083;-1;
1,1;-2;
1,119;-3;
1,147;-3;
1,167;-1;
1,198;-3;
1,226;-1;
1,244;-3;
1,269;-3;
1,286;-3;
1,309;-3;
1,332;-3;
1,352;-3;
1,379;-2;
1,392;1;
1,409;-2;
1,426;-3;
1,442;-3;
1,456;0;
1,477;-2;
1,506;-3;
1,518;0;
1,535;0;
1,552;-3;
1,568;-1;
1,586;-2;
1,613;-2;
1,631;-1;
1,645;1;
1,659;0;
1,677;-3;
1,699;-1;
1,733;-2;
1,764;-3;
1,786;-3;
1,801;-3;
1,816;1;
1,841;-3;
1,865;-3;
1,879;0;
1,896;-3;
1,913;-3;
1,942;-3;
1,958;-1;
1,982;-3;
2,003;0;
2,022;-1;
2,052;-3;
2,066;-3;
2,081;-3;
2,1;0;
2,128;-1;
2,145;-3;
2,174;0;
2,188;-2;
2,21;-3;
2,237;-3;
2,255;-3;
2,283;-3;
2,303;-1;
2,332;-3;
2,345;-3;
2,365;-3;
2,392;-3;
2,412;-3;
2,443;-3;
2,471;-3;
2,487;-3;
2,5;-3;
2,518;-3;
2,532;-3;
2,549;-3;
2,565;-3;
2,583;-3;
2,614;-3;
2,641;-3;
2,662;-3;
2,687;-3;
2,702;-3;
2,716;-3;
2,732;-3;
0;-0,005859375;
0;-0,005859375;
0,014;-0,005859375;
0,03;-0,005859375;
0,046;-0,005859375;
0,064;-0,005859375;
0,08;-0,005859375;
0,099;-0,005859375;
0,13;-0,005859375;
0,156;-0,005859375;
0,172;-0,005859375;
0,188;-0,005859375;
0,206;-0,005859375;
0,242;-0,005859375;
0,263;-0,005859375;
0,286;-0,005859375;
0,313;-0,005859375;
0,329;-0,005859375;
0,346;-0,005859375;
0,379;-0,005859375;
0,414;-0,005859375;
0,443;-0,005859375;
0,475;-0,005859375;
0,498;-0,005859375;
0,515;-0,005859375;
0,528;-0,005859375;
0,545;-0,005859375;
0,563;-0,001953125;
0,581;-0,005859375;
0,609;-0,00390625;
0,626;-0,005859375;
0,64;-0,005859375;
0,662;-0,005859375;
0,692;-0,005859375;
0,724;0;
0,752;-0,001953125;
0,765;-0,005859375;
0,787;0;
0,814;-0,005859375;
0,831;-0,001953125;
0,865;-0,001953125;
0,896;-0,005859375;
0,925;-0,005859375;
0,956;0,001953125;
0,986;-0,005859375;
1,008;-0,001953125;
1,034;0,001953125;
1,062;-0,00390625;
1,076;-0,001953125;
1,096;-0,001953125;
1,126;0;
1,164;-0,001953125;
1,195;0,001953125;
1,224;0;
1,254;0,001953125;
1,282;-0,00390625;
1,311;-0,005859375;
1,328;-0,001953125;
1,363;0,001953125;
1,386;0;
1,407;-0,00390625;
1,441;-0,005859375;
1,464;-0,005859375;
1,481;-0,005859375;
1,507;-0,00390625;
1,533;-0,00390625;
1,56;0,001953125;
1,574;-0,001953125;
1,59;0,001953125;
1,621;0,001953125;
1,656;0,001953125;
1,681;0,001953125;
1,698;0,001953125;
1,711;0,001953125;
1,726;-0,001953125;
1,744;-0,00390625;
1,761;0,001953125;
1,776;0,001953125;
1,792;0,001953125;
1,809;-0,001953125;
1,841;0,001953125;
1,868;-0,00390625;
1,884;-0,001953125;
1,903;-0,005859375;
1,928;-0,00390625;
1,948;-0,005859375;
1,977;0;
1,996;0,001953125;
2,026;-0,001953125;
2,04;0;
2,057;0;
2,072;0;
2,091;-0,005859375;
2,116;-0,005859375;
2,135;0;
2,163;0,001953125;
2,178;-0,001953125;
2,193;0,001953125;
2,21;0,001953125;
2,226;0,001953125;
2,246;0,001953125;
2,273;-0,00390625;
2,289;-0,001953125;
2,326;0,001953125;
2,35;0,001953125;
2,369;0,001953125;
2,396;0,001953125;
2,413;0;
2,442;0,001953125;
2,459;0,001953125;
2,489;0,001953125;
2,52;0;
2,534;-0,00390625;
2,555;0,001953125;
2,584;-0,001953125;
2,619;-0,001953125;
2,644;-0,001953125;
2,674;0;
2,69;-0,001953125;
2,711;-0,001953125;
2,737;-0,00390625;
2,757;-0,001953125;
2,784;-0,00390625;
2,803;-0,00390625;
2,83;-0,001953125;
2,846;-0,005859375;
2,869;-0,00390625;
2,895;-0,005859375;
2,909;-0,00390625;
2,926;-0,001953125;
2,942;0;
2,957;-0,001953125;
2,976;0,001953125;
3,005;-0,001953125;
3,024;0;
3,052;-0,005859375;
3,068;-0,00390625;
3,082;0,001953125;
3,102;-0,001953125;
3,118;-0,001953125;
3,147;0;
3,16;-0,005859375;
3,181;-0,005859375;
3,209;-0,001953125;
3,226;-0,005859375;
3,254;-0,005859375;
3,269;0;
3,285;0,001953125;
3,301;0,001953125;
3,32;0,001953125;
3,348;-0,001953125;
3,365;0,001953125;
3,392;0,001953125;
3,409;0,001953125;
3,422;-0,005859375;
3,442;0,001953125;
3,462;0,001953125;
3,494;0,001953125;
3,52;0,001953125;
3,547;-0,00390625;
3,569;-0,005859375;
3,594;-0,005859375;
3,61;-0,001953125;
3,626;-0,005859375;
3,639;0;
3,656;-0,005859375;
3,673;-0,001953125;
3,7;0,001953125;
3,717;0;
3,733;0;
3,752;0,001953125;
3,785;0,001953125;
3,812;0;
3,83;0;
3,863;0,001953125;
3,892;0,001953125;
3,928;0,001953125;
3,952;0,001953125;
3,967;0,001953125;
3,983;0,001953125;
4;0,001953125;
4,029;0,001953125;
4,047;0,001953125;
4,077;0,001953125;
4,107;0,001953125;
4,123;0,001953125;
4,137;0,001953125;
4,156;0,001953125;
4,185;0,001953125;
4,2;0,001953125;
4,216;0,001953125;
4,23;0,001953125;
4,25;0,001953125;
4,28;0,001953125;
4,294;0,001953125;
4,313;0,001953125;
4,344;0,001953125;
4,357;0,001953125;
4,372;0,001953125;
4,387;0,001953125;
4,403;0,001953125;
4,424;0,001953125;
4,451;0,001953125;
4,467;0,001953125;
4,489;0,001953125;
4,514;-0,001953125;
4,527;0,001953125;
4,545;-0,001953125;
4,561;0,001953125;
4,575;0;
4,598;0,001953125;
4,624;0,001953125;
4,644;0,001953125;
4,67;0,001953125;
4,699;0,001953125;
4,715;0,001953125;
4,731;-0,00390625;
4,746;0,001953125;
4,763;0,001953125;
4,78;0,001953125;
4,816;0,001953125;
4,844;0,001953125;
4,879;0,001953125;
4,909;0,001953125;
4,94;0,001953125;
4,97;0,001953125;
5,003;0,001953125;
5,029;0,001953125;
5,058;0,001953125;
5,076;0,001953125;
5,113;0,001953125;
5,143;0,001953125;
5,174;0,001953125;
5,203;0,001953125;
5,232;0,001953125;
5,264;0,001953125;
5,288;0,001953125;
5,303;0,001953125;
5,327;0,001953125;
5,354;0,001953125;
5,381;0,001953125;
5,399;0,001953125;
5,414;0,001953125;
5,428;0,001953125;
5,452;0,001953125;
5,478;0,001953125;
5,493;0,001953125;
5,507;0,001953125;
5,526;0,001953125;
5,556;0,001953125;
5,589;0,001953125;
5,621;0,001953125;
5,651;0,001953125;
5,68;0,001953125;
5,712;0,001953125;
5,741;0,001953125;
5,754;0,001953125;
5,78;0,001953125;
5,806;0,001953125;
5,836;0,001953125;
5,866;0,001953125;
5,9;0,001953125;
5,928;0,001953125;
5,958;0,001953125;
5,975;0,001953125;
6,005;0,001953125;
6,04;0,001953125;
6,068;0,001953125;
6,098;0,001953125;
6,127;0,001953125;
6,146;0,001953125;
6,175;0,001953125;
6,189;0,001953125;
6,209;0,001953125;
6,235;0,001953125;
6,254;0,001953125;
6,288;0,001953125;
6,32;0,001953125;
6,351;0,001953125;
6,382;0,001953125;
6,413;0,001953125;
6,44;0,001953125;
6,475;0,001953125;
6,509;0,001953125;
6,53;0,001953125;
6,547;0,001953125;
6,563;0,001953125;
6,577;0,001953125;
6,592;0,001953125;
6,61;0,001953125;
6,625;0,001953125;
6,64;0,001953125;
6,656;0,001953125;
6,672;0,001953125;
6,688;0,001953125;
6,703;0,001953125;
6,72;0,001953125;
6,733;0,001953125;
6,753;0,001953125;
6,785;0,001953125;
6,812;0;
6,83;0,001953125;
6,864;0,001953125;
6,892;0;
6,922;0;
6,953;-0,001953125;
6,99;0,001953125;
7,017;0;
7,043;-0,001953125;
7,062;0,001953125;
7,088;0;
7,105;0,001953125;
7,12;0,001953125;
7,139;0,001953125;
7,173;-0,005859375;
7,2;0,001953125;
7,236;0,001953125;
7,262;0,001953125;
7,297;0,001953125;
7,32;-0,001953125;
7,338;-0,00390625;
7,35;-0,005859375;
7,37;-0,005859375;
7,402;-0,00390625;
7,429;0,001953125;
7,444;-0,001953125;
7,462;-0,00390625;
7,475;-0,001953125;
7,497;0;
7,533;-0,001953125;
7,564;0;
7,595;-0,00390625;
7,626;-0,00390625;
7,652;-0,001953125;
7,683;0,001953125;
7,718;0,001953125;
7,75;0;
7,78;0,001953125;
7,812;0;
7,842;0,001953125;
7,864;-0,001953125;
7,882;-0,00390625;
7,894;-0,001953125;
7,915;-0,005859375;
7,942;0;
7,957;-0,001953125;
7,977;0,001953125;
8,005;0,001953125;
8,029;-0,001953125;
8,058;0,001953125;
8,083;0;
8,103;0,001953125;
8,132;0,001953125;
8,15;0,001953125;
8,18;0,001953125;
8,214;0,001953125;
8,242;-0,001953125;
8,268;0,001953125;
8,288;0,001953125;
8,318;0,001953125;
8,332;0,001953125;
8,355;0;
8,386;0,001953125;
8,41;0,001953125;
8,425;0,001953125;
8,448;0,001953125;
8,475;-0,001953125;
8,49;0,001953125;
8,506;0,001953125;
8,528;0,001953125;
8,559;0,001953125;
8,585;0,001953125;
8,615;0,001953125;
8,652;0,001953125;
8,674;0,001953125;
8,69;0,001953125;
8,717;0,001953125;
8,736;0,001953125;
8,754;0,001953125;
8,771;0,001953125;
8,8;0,001953125;
8,813;-0,001953125;
8,83;0,001953125;
8,843;0;
8,865;-0,00390625;
8,89;-0,001953125;
8,906;0;
8,92;-0,005859375;
8,936;0;
8,953;0,001953125;
8,968;0,001953125;
8,983;0,001953125;
9;0,001953125;
9,018;0,001953125;
9,054;0,001953125;
9,079;0,001953125;
9,093;0,001953125;
9,113;0,001953125;
9,139;0,001953125;
9,159;0,001953125;
9,19;0,001953125;
9,218;0,001953125;
9,233;0,001953125;
9,254;0,001953125;
9,29;0,001953125;
9,311;-0,001953125;
9,327;0,001953125;
9,341;0,001953125;
9,356;-0,001953125;
9,372;0,001953125;
9,387;0,001953125;
9,404;0,001953125;
9,417;0,001953125;
9,44;0,001953125;
9,465;0,001953125;
9,486;0,001953125;
9,512;0,001953125;
9,528;0,001953125;
9,543;0,001953125;
9,565;0,001953125;
9,59;0,001953125;
9,604;0,001953125;
9,622;0,001953125;
9,636;0,001953125;
9,652;0,001953125;
9,669;0,001953125;
9,683;0,001953125;
9,699;0,001953125;
9,715;0,001953125;
9,731;0,001953125;
9,747;0,001953125;
9,76;0,001953125;
9,776;0,001953125;
9,799;0,001953125;
9,828;0,001953125;
9,858;0,001953125;
9,871;0,001953125;
9,889;0,001953125;
9,902;0;
9,92;0,001953125;
9,934;0;
9,95;0,001953125;
9,965;0,001953125;
9,983;0,001953125;
9,997;-0,001953125;
10,013;0,001953125;
10,035;0,001953125;
10,061;0,001953125;
10,081;-0,001953125;
10,106;0,001953125;
10,123;0,001953125;
10,136;0,001953125;
10,153;0,001953125;
10,17;0;
10,183;0,001953125;
10,201;0,001953125;
10,214;0,001953125;
10,231;0,001953125;
10,247;0,001953125;
10,262;0,001953125;
10,282;0,001953125;
10,31;0,001953125;
10,324;0;
10,34;0,001953125;
10,36;0,001953125;
10,389;0,001953125;
10,417;0,001953125;
10,432;0,001953125;
10,447;0,001953125;
10,466;0,001953125;
10,502;0,001953125;
10,527;0,001953125;
10,548;0,001953125;
10,571;0,001953125;
10,587;0,001953125;
10,602;0,001953125;
10,621;0,001953125;
10,633;0,001953125;
10,649;0,001953125;
10,671;0,001953125;
10,699;0,001953125;
10,715;0,001953125;
10,731;-0,00390625;
10,745;0,001953125;
10,766;0,001953125;
10,794;0,001953125;
10,824;0,001953125;
10,854;0,001953125;
10,868;0,001953125;
10,887;0,001953125;
10,922;0,001953125;
10,948;0,001953125;
10,962;0,001953125;
10,976;0,001953125;
10,992;0,001953125;
11,009;0,001953125;
11,026;0,001953125;
11,044;0,001953125;
11,073;0,001953125;
11,087;0,001953125;
11,103;0,001953125;
11,119;0,001953125;
11,133;0,001953125;
11,15;0,001953125;
11,163;0,001953125;
11,179;0,001953125;
11,196;0,001953125;
11,211;0,001953125;
11,225;0;
11,243;0,001953125;
11,264;0,001953125;
11,294;0,001953125;
11,323;0,001953125;
11,35;0,001953125;
11,368;0,001953125;
11,383;0,001953125;
11,397;-0,001953125;
11,413;0;
11,427;0,001953125;
11,445;0,001953125;
11,463;0,001953125;
11,495;0,001953125;
11,523;0,001953125;
11,538;0,001953125;
11,555;0,001953125;
11,57;-0,001953125;
11,585;0,001953125;
11,6;0,001953125;
11,618;0,001953125;
11,647;0;
11,661;0;
11,677;-0,001953125;
11,696;0,001953125;
11,724;0;
11,741;0,001953125;
11,772;-0,00390625;
11,8;0,001953125;
11,816;-0,001953125;
11,832;0,001953125;
11,848;-0,001953125;
11,861;0,001953125;
11,876;-0,00390625;
11,896;0,001953125;
11,926;0,001953125;
11,961;0,001953125;
11,989;0,001953125;
12,015;0,001953125;
12,04;0,001953125;
12,062;0,001953125;
12,078;-0,001953125;
12,091;0,001953125;
12,111;0,001953125;
12,125;0,001953125;
12,139;0,001953125;
12,155;-0,001953125;
12,169;-0,001953125;
12,189;0,001953125;
12,204;0;
12,22;0,001953125;
12,234;0;
12,249;-0,001953125;
12,272;0,001953125;
12,297;0;
12,314;0;
12,345;-0,001953125;
12,374;0,001953125;
12,39;0;
12,403;-0,001953125;
12,427;-0,005859375;
12,45;0,001953125;
12,47;0,001953125;
12,498;0,001953125;
12,518;0,001953125;
12,544;0,001953125;
12,561;0,001953125;
12,574;-0,001953125;
12,594;-0,001953125;
12,627;-0,001953125;
12,662;0,001953125;
12,693;0,001953125;
12,724;0,001953125;
12,755;-0,00390625;
12,787;-0,005859375;
12,82;-0,00390625;
12,848;-0,005859375;
12,877;-0,005859375;
12,91;0,001953125;
12,935;0,001953125;
12,953;0,001953125;
12,969;0,001953125;
13,004;0,001953125;
13,039;0,001953125;
13,067;0,001953125;
13,091;0,001953125;
13,106;0,001953125;
13,122;0,001953125;
13,136;0;
13,152;0,001953125;
13,168;0,001953125;
13,186;0,001953125;
13,2;0,001953125;
13,215;0;
13,234;0,001953125;
13,261;0,001953125;
13,277;0,001953125;
13,292;0,001953125;
13,308;0,001953125;
13,325;0,001953125;
13,345;0,001953125;
13,37;0,001953125;
13,39;0,001953125;
13,419;0,001953125;
13,436;0,001953125;
13,449;0,001953125;
13,467;0,001953125;
13,479;0,001953125;
13,496;0,001953125;
13,518;0,001953125;
13,542;0,001953125;
13,56;0,001953125;
13,574;0,001953125;
13,589;-0,001953125;
13,606;0,001953125;
13,622;0,001953125;
13,65;0,001953125;
13,673;0,001953125;
13,696;0,001953125;
13,715;0,001953125;
13,73;0,001953125;
13,745;0,001953125;
13,765;0,001953125;
13,798;0,001953125;
13,824;0,001953125;
13,844;0,001953125;
13,871;0,001953125;
13,888;0,001953125;
13,901;0,001953125;
13,918;0,001953125;
13,934;0,001953125;
13,953;0,001953125;
13,983;0,001953125;
14,011;0,001953125;
14,031;0,001953125;
14,058;0,001953125;
14,077;0,001953125;
14,106;0,001953125;
14,121;0,001953125;
14,134;0,001953125;
14,149;0,001953125;
14,167;0,001953125;
14,182;0,001953125;
14,199;0,001953125;
14,214;-0,001953125;
14,227;0,001953125;
14,244;0,001953125;
14,261;0,001953125;
14,292;0,001953125;
14,31;0,001953125;
14,337;0,001953125;
14,358;0,001953125;
14,383;0,001953125;
14,398;0,001953125;
14,415;0,001953125;
14,43;0,001953125;
14,447;0,001953125;
14,462;0,001953125;
14,478;0,001953125;
14,494;0,001953125;
14,51;0,001953125;
14,526;0,001953125;
14,539;0,001953125;
14,555;0,001953125;
14,578;0,001953125;
14,602;0,001953125;
14,616;0,001953125;
14,635;0,001953125;
14,665;0,001953125;
14,68;0,001953125;
14,696;0,001953125;
14,712;0,001953125;
14,729;0,001953125;
14,748;-0,001953125;
14,774;0;
14,792;0,001953125;
14,805;0,001953125;
14,824;0,001953125;
14,851;0,001953125;
14,874;0,001953125;
14,901;0,001953125;
14,93;0,001953125;
14,946;0,001953125;
14,962;0,001953125;
14,981;0,001953125;
15,006;0,001953125;
15,022;0,001953125;
15,036;0,001953125;
15,053;0,001953125;
15,073;0,001953125;
15,099;0,001953125;
15,116;0,001953125;
15,13;0,001953125;
15,147;0,001953125;
15,162;0,001953125;
15,177;0,001953125;
15,194;0,001953125;
15,208;0,001953125;
15,223;0,001953125;
15,241;0,001953125;
15,256;0,001953125;
15,27;0,001953125;
15,286;0,001953125;
15,302;0,001953125;
15,315;0,001953125;
15,331;0,001953125;
15,348;0,001953125;
15,364;0,001953125;
15,38;0,001953125;
15,395;0,001953125;
15,411;0,001953125;
15,426;0,001953125;
15,442;0,001953125;
15,458;0,001953125;
15,473;0,001953125;
15,487;0,001953125;
15,505;0,001953125;
15,532;0,001953125;
15,548;0,001953125;
15,57;0,001953125;
15,595;0,001953125;
15,61;0,001953125;
15,625;0,001953125;
15,643;0,001953125;
15,657;0,001953125;
15,674;0,001953125;
15,688;0,001953125;
15,704;0,001953125;
15,731;0,001953125;
15,752;0,001953125;
15,768;0,001953125;
15,785;0,001953125;
15,799;0,001953125;
15,814;-0,001953125;
15,834;0,001953125;
15,861;0;
15,878;-0,00390625;
15,894;-0,005859375;
15,908;-0,001953125;
15,923;-0,005859375;
15,939;-0,00390625;
15,954;-0,00390625;
15,971;-0,005859375;
15,985;-0,005859375;
16,007;0,001953125;
16,04;-0,00390625;
16,064;-0,00390625;
16,078;0,001953125;
16,095;0,001953125;
16,107;0,001953125;
16,129;-0,001953125;
16,155;0;
16,169;0,001953125;
16,185;0,001953125;
16,201;0,001953125;
16,219;0;
16,233;0,001953125;
16,251;0,001953125;
16,268;0,001953125;
16,295;0,001953125;
16,314;0,001953125;
16,342;0,001953125;
16,357;0,001953125;
16,374;-0,001953125;
16,388;0,001953125;
16,408;0,001953125;
16,436;0,001953125;
16,452;0,001953125;
16,466;0,001953125;
16,484;0,001953125;
16,499;0,001953125;
16,515;0,001953125;
16,543;0,001953125;
16,563;0,001953125;
16,594;0,001953125;
16,621;0,001953125;
16,642;0,001953125;
16,666;0,001953125;
16,684;0,001953125;
16,697;0,001953125;
16,716;0,001953125;
16,731;0,001953125;
16,751;0,001953125;
16,776;0;
16,792;-0,001953125;
16,808;-0,00390625;
16,823;0,001953125;
16,84;0,001953125;
16,853;0,001953125;
16,871;0,001953125;
16,885;0,001953125;
16,907;0,001953125;
16,933;0,001953125;
16,951;0,001953125;
16,979;0,001953125;
16,994;0,001953125;
17,012;0,001953125;
17,024;0,001953125;
17,04;0,001953125;
17,064;0,001953125;
17,088;0,001953125;
17,103;0,001953125;
17,12;0,001953125;
17,133;0,001953125;
17,152;0,001953125;
17,164;0,001953125;
17,183;0,001953125;
17,196;0,001953125;
17,214;0,001953125;
17,225;0,001953125;
17,245;0,001953125;
17,256;0,001953125;
17,275;0,001953125;
17,288;0,001953125;
17,305;0,001953125;
17,321;-0,001953125;
17,336;0,001953125;
17,354;0,001953125;
17,38;0,001953125;
17,397;0,001953125;
17,411;0,001953125;
17,428;0,001953125;
17,442;0,001953125;
17,46;0,001953125;
17,49;0,001953125;
17,504;-0,001953125;
17,519;0;
17,534;0,001953125;
17,552;0;
17,569;0,001953125;
17,582;0;
17,598;0,001953125;
17,616;0,001953125;
17,632;0;
17,645;0;
17,663;-0,005859375;
17,677;0;
17,693;-0,005859375;
17,71;-0,00390625;
17,739;0,001953125;
17,755;-0,00390625;
17,772;0;
17,786;0,001953125;
