Start Time;06/05/2026 09:57:19

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
0;1;
0;1;
0,021;1;
0,035;1;
0,05;1;
0,065;1;
0,081;1;
0,096;1;
0,112;1;
0,127;1;
0,144;1;
0,16;1;
0,175;1;
0,189;1;
0,208;1;
0,224;1;
0,238;1;
0,253;1;
0,267;1;
0,283;1;
0,299;1;
0,313;1;
0,331;1;
0,345;1;
0,364;1;
0,394;1;
0,409;1;
0,424;1;
0,444;1;
0,469;0;
0,485;1;
0,5;1;
0,517;1;
0,533;-2;
0,546;-2;
0,564;-2;
0,576;-3;
0,593;0;
0,608;-1;
0,625;0;
0,639;0;
0,656;1;
0,669;-1;
0,686;-3;
0,699;-3;
0,716;-3;
0,734;-3;
0,747;-3;
0,762;-3;
0,779;-3;
0,793;-1;
0,81;1;
0,826;1;
0,843;-1;
0,866;-1;
0,893;1;
0,92;1;
0,932;1;
0,951;1;
0,97;1;
1,002;1;
1,026;1;
1,042;1;
1,059;-2;
1,072;1;
1,089;1;
1,103;1;
1,123;1;
1,15;-1;
1,166;0;
1,181;-1;
1,196;1;
1,214;1;
1,239;0;
1,26;0;
1,274;1;
1,296;1;
1,323;-2;
1,336;1;
1,359;1;
1,388;1;
1,418;1;
1,43;0;
1,446;0;
1,462;1;
1,478;1;
1,498;-1;
1,524;1;
1,541;-1;
1,561;1;
1,594;0;
1,619;-1;
1,64;1;
1,666;1;
1,68;1;
1,696;1;
1,712;1;
1,728;1;
1,745;1;
1,761;1;
1,776;-3;
1,796;1;
1,825;1;
1,84;1;
1,855;1;
1,869;1;
1,888;1;
1,917;1;
1,934;1;
1,953;1;
1,978;1;
2,002;1;
2,027;1;
2,043;0;
2,057;1;
2,073;1;
2,092;1;
2,124;1;
2,154;1;
2,182;1;
2,196;1;
2,214;1;
2,245;0;
2,274;1;
2,29;1;
2,321;1;
2,337;1;
2,372;1;
2,402;1;
2,429;1;
2,45;1;
0;0,001953125;
0;0,001953125;
0,025;0,001953125;
0,04;0,001953125;
0,059;0,001953125;
0,088;0,001953125;
0,106;0,001953125;
0,136;0,001953125;
0,15;-0,001953125;
0,165;0,001953125;
0,184;0,001953125;
0,212;0,001953125;
0,232;0,001953125;
0,258;0,001953125;
0,274;0,001953125;
0,303;0,001953125;
0,321;0,001953125;
0,352;0,001953125;
0,381;0,001953125;
0,402;0,001953125;
0,427;0,001953125;
0,441;0,001953125;
0,46;0;
0,496;0,001953125;
0,52;0,001953125;
0,536;0,001953125;
0,554;0,001953125;
0,58;0,001953125;
0,601;0,001953125;
0,627;0,001953125;
0,639;0,001953125;
0,663;0,001953125;
0,689;0,001953125;
0,703;0,001953125;
0,718;0,001953125;
0,736;0,001953125;
0,748;0,001953125;
0,772;0,001953125;
0,807;0,001953125;
0,829;-0,00390625;
0,842;0;
0,862;0,001953125;
0,891;0,001953125;
0,904;0,001953125;
0,925;0,001953125;
0,951;-0,00390625;
0,968;-0,005859375;
0,982;-0,001953125;
0,999;-0,00390625;
1,013;-0,005859375;
1,038;-0,005859375;
1,061;-0,001953125;
1,077;-0,00390625;
1,093;0,001953125;
1,108;0,001953125;
1,123;0,001953125;
1,139;0,001953125;
1,156;0,001953125;
1,172;0,001953125;
1,188;0,001953125;
1,202;0,001953125;
1,216;0,001953125;
1,232;0,001953125;
1,25;0,001953125;
1,264;0,001953125;
1,281;0,001953125;
1,3;0,001953125;
1,324;0,001953125;
1,348;0,001953125;
1,372;0,001953125;
1,39;0,001953125;
1,404;0,001953125;
1,419;0,001953125;
1,436;-0,001953125;
1,45;0,001953125;
1,466;0,001953125;
1,484;0,001953125;
1,497;0,001953125;
1,512;0,001953125;
1,537;0,001953125;
1,568;0,001953125;
1,6;0,001953125;
1,624;0,001953125;
1,64;0,001953125;
1,658;0,001953125;
1,679;0,001953125;
1,706;0,001953125;
1,735;0,001953125;
1,751;0,001953125;
1,764;0,001953125;
1,781;0,001953125;
1,796;0,001953125;
1,811;0,001953125;
1,828;0,001953125;
1,843;0,001953125;
1,858;0,001953125;
1,882;0,001953125;
1,909;0,001953125;
1,938;0,001953125;
1,957;0,001953125;
1,982;0,001953125;
2;0;
2,017;0,001953125;
2,053;0,001953125;
2,084;0,001953125;
2,113;0,001953125;
2,14;0,001953125;
2,175;0,001953125;
2,196;-0,001953125;
2,216;0,001953125;
2,244;0,001953125;
2,259;0,001953125;
2,285;-0,001953125;
2,31;0,001953125;
2,34;0;
2,356;0,001953125;
2,37;0,001953125;
2,388;0,001953125;
2,403;0,001953125;
2,418;0,001953125;
2,437;0,001953125;
2,462;0,001953125;
2,478;0,001953125;
2,493;0,001953125;
2,508;0,001953125;
2,529;0,001953125;
2,561;0,001953125;
2,592;0,001953125;
2,617;0,001953125;
2,631;0,001953125;
2,651;0,001953125;
2,684;0,001953125;
2,715;0,001953125;
2,75;0,001953125;
2,774;0,001953125;
2,791;0,001953125;
2,812;0,001953125;
2,845;0,001953125;
2,865;0,001953125;
2,884;0,001953125;
2,897;0,001953125;
2,92;0,001953125;
2,948;0,001953125;
2,979;0,001953125;
3,008;0,001953125;
3,026;0,001953125;
3,06;0,001953125;
3,086;0,001953125;
3,101;0,001953125;
3,123;0,001953125;
3,152;0,001953125;
3,181;0;
3,196;0,001953125;
3,212;0;
3,226;0;
3,241;0,001953125;
3,257;0,001953125;
3,278;0,001953125;
3,306;0,001953125;
3,337;0,001953125;
3,366;0,001953125;
3,381;0,001953125;
3,394;0,001953125;
3,411;0,001953125;
3,429;0,001953125;
3,445;0,001953125;
3,474;0,001953125;
3,491;0,001953125;
3,512;0,001953125;
3,544;0,001953125;
3,567;0,001953125;
3,581;0,001953125;
3,595;0,001953125;
3,611;0,001953125;
3,626;0,001953125;
3,645;0,001953125;
3,656;0,001953125;
3,679;0,001953125;
3,709;0,001953125;
3,743;0,001953125;
3,765;0,001953125;
3,789;0,001953125;
3,816;0,001953125;
3,843;0,001953125;
3,862;0,001953125;
3,89;0,001953125;
3,903;0,001953125;
3,918;0,001953125;
3,934;0,001953125;
3,95;0,001953125;
3,966;0,001953125;
3,981;0,001953125;
3,997;0,001953125;
4,012;0,001953125;
4,029;0,001953125;
4,044;0,001953125;
4,062;0,001953125;
4,089;0,001953125;
4,102;0,001953125;
4,12;0,001953125;
4,138;0,001953125;
4,15;0,001953125;
4,168;0,001953125;
4,19;0,001953125;
4,224;0,001953125;
4,253;0,001953125;
4,282;0,001953125;
4,308;0,001953125;
4,325;0,001953125;
4,36;0,001953125;
4,391;0,001953125;
4,424;0,001953125;
4,453;0,001953125;
4,484;0,001953125;
4,506;0,001953125;
4,522;0,001953125;
4,538;0,001953125;
4,554;0,001953125;
4,572;0,001953125;
4,602;0,001953125;
4,632;0,001953125;
4,647;0,001953125;
4,66;0,001953125;
4,681;0,001953125;
4,709;0,001953125;
4,724;0,001953125;
4,74;0,001953125;
4,756;0,001953125;
4,77;0,001953125;
4,791;0,001953125;
4,818;0,001953125;
4,834;0,001953125;
4,87;0,001953125;
4,894;0,001953125;
4,91;0,001953125;
4,931;0,001953125;
4,957;0,001953125;
4,976;0,001953125;
5,006;0,001953125;
5,025;0,001953125;
5,058;0,001953125;
5,083;0,001953125;
5,098;0,001953125;
5,116;0,001953125;
5,129;0,001953125;
5,144;0,001953125;
5,16;0,001953125;
5,176;0,001953125;
5,192;0,001953125;
5,21;0,001953125;
5,241;0,001953125;
5,253;0,001953125;
5,272;0,001953125;
5,309;0,001953125;
5,341;0,001953125;
5,371;0,001953125;
5,393;0,001953125;
5,409;0,001953125;
5,43;0,001953125;
5,466;0,001953125;
5,493;0,001953125;
5,521;0,001953125;
5,554;0,001953125;
5,59;0,001953125;
5,611;0,001953125;
5,63;0,001953125;
5,667;0,001953125;
5,698;0,001953125;
5,728;0,001953125;
5,759;0,001953125;
5,787;0,001953125;
5,821;0,001953125;
5,842;0,001953125;
5,858;0,001953125;
5,874;0,001953125;
5,889;0,001953125;
5,905;0,001953125;
5,921;0,001953125;
5,937;0,001953125;
5,952;0,001953125;
5,965;0,001953125;
